frame,wrist_R_x,wrist_R_y,wrist_R_z,elbow_R_x,elbow_R_y,elbow_R_z,shoulder_R_x,shoulder_R_y,shoulder_R_z,wrist_L_x,wrist_L_y,wrist_L_z,elbow_L_x,elbow_L_y,elbow_L_z,shoulder_L_x,shoulder_L_y,shoulder_L_z
0,-306.085,65.0133,-507.5289,-280.3935,142.901,-218.6657,-330.795,295.0706,-79.3668,305.5986,-241.9496,209.4925,308.895,-262.5531,72.2261,321.5101,-116.3907,-98.516
1,758.9559,-199.4628,-410.1902,282.2958,-123.2096,1814.5768,674.8861,204.496,-729.8034,-674.082,1042.3901,-224.0195,-534.3918,175.6395,-1125.1304,-679.6438,118.1039,-944.2958
2,-1829.6473,-12692.2312,22072.2871,-3380.9562,-11720.098,22535.0381,3.4435,-106.3542,-157.0159,-73.2333,-145.0874,73.5046,6.9176,-149.1903,54.4683,18.6275,20.9081,123.8263
3,2268.7373,-149253.2747,10455.5095,3276.1877,-149508.4041,-4221.3179,-1372.5803,-101.1242,2781.7558,1298.6705,-1041.8927,1558.0408,1089.5215,-1637.9958,1783.3062,1297.3005,-1397.7796,1998.0838
4,2584.7592,-549.0182,14670.4723,1345.926,-2895.3133,16870.5568,2321.4792,1468.8189,-2948.485,-2163.9459,1983.9879,-168.1286,-1912.1887,310.5267,-2919.6419,-2276.2097,1181.1017,-2528.3668
5,-1616.9131,75159.674,-36741.7261,1299.3331,79465.3961,-25943.6576,-514.4032,-159.7851,373.6898,494.029,-62.5666,31.8239,435.2356,-215.1658,486.3031,480.0207,-202.7367,415.4245
6,1002.8423,-1904.2844,-535.3324,1139.4104,-1565.5669,-1162.2022,34.9561,143.3799,-66.3547,-55.9412,-7.9565,-267.3992,3.4878,-57.9201,-333.0783,-14.4786,64.769,-301.056
7,-31.832,-317.5119,-875.2222,54.6023,-154.3122,-926.6086,-9.7347,46.7025,-80.7511,-8.615,-56.8746,21.796,14.047,-83.621,-13.6726,7.83,-31.878,35.9374
8,3.1245,-62.5546,-57.8728,10.3367,-119.4749,-60.557,7.688,43.6358,-41.4078,-11.6593,-110.8069,18.3686,-13.2799,-125.4914,49.3383,-9.6631,-37.3349,24.3679
9,12.777,-61.9645,-47.346,8.9181,-79.5624,-29.0427,6.6266,88.6881,-35.4527,65.724,-49.107,79.935,0.4038,-94.0501,18.4182,-7.2811,-29.9647,15.3325
10,-215.221,-106.7603,-139.7545,-172.2143,-125.8715,-192.8651,-225.2194,131.2464,-154.9284,251.4054,-114.9847,-29.6881,217.6449,-109.5572,-228.2896,220.1783,-5.5599,-194.2249
11,187.0924,-86.1657,456.2991,117.0441,-260.0001,443.2916,215.2923,-282.3348,208.2083,-295.4704,-204.853,21.2876,-230.5256,-195.2018,232.8673,-227.9042,-147.4196,192.5616
12,117.5695,-1.8329,-33.8449,122.0414,-48.1566,-34.6926,111.4571,123.8294,-59.1838,-118.3967,58.9477,-19.4619,-117.295,-25.6894,-54.5596,-120.9354,65.0276,-28.2755
13,-161.318,-145.3608,-380.7113,-134.831,-192.5085,-390.4187,-152.3818,-82.1492,-328.0312,81.7357,47.2758,-6.1308,133.0802,60.3318,-137.5048,124.4111,176.4049,-142.1108
14,85.2951,58.2092,19.2107,77.3561,26.6762,20.7142,78.8453,184.5448,20.2229,93.5568,-256.9566,525.3763,-52.4994,-325.2305,727.2824,-44.8422,-381.0413,618.0884
15,-0.5949,-63.6491,151.6904,-12.675,-113.6341,132.8914,-0.1754,55.9621,162.0633,-55.4167,-39.5344,-369.13,31.6151,-95.6637,-379.7234,18.6945,81.8656,-383.6996
16,57.6741,-58.387,39.8939,-48.4917,-1202.1486,2168.1475,57.5994,28.4406,53.33,-50.0825,-73.1466,-69.4309,-66.6056,-131.4053,69.1368,-62.3612,-29.0749,49.2393
17,329.7313,24539.8877,-1077.5832,154.9244,23653.1575,6474.4021,-47.3229,27.3259,56.8666,64.4806,-96.3169,198.5965,35.8054,-148.9339,206.7186,51.2386,-73.4623,164.0854
18,572.2961,70895.652,10813.8055,-715.9763,60662.3799,38181.5457,-48.1233,112.9009,-206.002,30.0292,5.4067,-280.7118,44.9085,-8.7661,-286.3621,42.0854,71.0465,-296.4369
19,216.5711,1830.275,-6690.0604,633.7633,2078.8149,-6606.7836,55.116,-16.4703,72.4685,-69.4635,-58.3175,-71.992,-52.7362,-125.9657,-51.1357,-54.4976,-13.9491,-85.1876
20,200.8611,-124.2275,-27.2302,204.1126,-180.2374,12.6666,206.915,-24.5034,39.1973,-174.2147,-182.1997,325.0992,-234.743,-164.6935,361.9102,-222.4235,-190.206,316.8021
21,706.216,-48.0651,273.5689,657.2559,-124.8216,302.7875,700.2655,143.9218,168.5549,-672.6897,143.7968,367.0413,-694.0801,109.1996,234.5964,-680.2327,292.9952,201.4157
22,3436.0571,10.6045,-301.9856,3491.9607,965.3604,-586.7813,3115.3256,585.3684,-2100.8646,-3309.7436,-729.6414,-428.7148,-2843.9959,-1343.7246,-1984.2478,-3194.6922,-1096.1168,-1722.2205
23,-5488.0541,90.6457,-562.8923,-5419.9877,-420.7122,-216.1136,-5256.5239,1508.7126,1056.9743,5262.2137,172.0925,617.0769,4975.682,729.7745,2141.8318,5307.7398,1151.2081,973.9161
24,1869.9498,-801.8675,1088.6122,1742.437,-476.8106,907.1885,1939.6032,-182.8923,12.2932,-1701.3348,-19.3725,-829.6205,-1793.5358,-102.9468,-804.6134,-1952.2666,-47.0681,1.3057
25,-163.5788,-2530.9373,-754.2374,-84.8348,-1519.7556,-447.8639,-198.7343,-538.9814,-377.2071,263.1105,-1119.184,-190.2482,191.6765,-725.5229,203.7656,252.5073,-185.5101,-37.5716
