frame,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z
0,0.4463,-3.6177,0.2216,0.524,-3.5833,0.2204,0.4106,-3.652,0.1889,0.5599,-3.546,0.1856,0.3687,-3.673,0.1612,0.5957,-3.5125,0.1539,0.4586,-3.5708,0.0954,0.4994,-3.5608,0.097,0.4435,-3.5303,0.0217,0.5061,-3.5198,0.0193,0.4471,-3.5077,-0.0523,0.5114,-3.503,-0.0592
1,0.4468,-3.614,0.2225,0.5275,-3.5885,0.2224,0.4007,-3.6504,0.1982,0.5715,-3.5543,0.1924,0.3484,-3.6752,0.1777,0.6173,-3.5318,0.1696,0.4567,-3.5635,0.0989,0.4989,-3.5578,0.0987,0.4449,-3.5342,0.0226,0.5068,-3.5251,0.0219,0.4483,-3.5181,-0.0516,0.509,-3.4993,-0.0573
2,0.4474,-3.6187,0.2226,0.5251,-3.5846,0.2223,0.4025,-3.6503,0.1989,0.5716,-3.5552,0.1934,0.3502,-3.674,0.1777,0.6136,-3.5318,0.1706,0.4568,-3.5722,0.099,0.4975,-3.5539,0.0997,0.4456,-3.5405,0.0233,0.5072,-3.5205,0.0212,0.4514,-3.5342,-0.0517,0.5087,-3.4966,-0.0571
3,0.4496,-3.6218,0.2236,0.5288,-3.5842,0.224,0.4029,-3.6544,0.2063,0.5768,-3.5537,0.2013,0.3482,-3.684,0.1869,0.6248,-3.5326,0.1809,0.4599,-3.5743,0.0981,0.4997,-3.5558,0.0972,0.4497,-3.5451,0.0237,0.504,-3.5182,0.0237,0.4494,-3.5262,-0.0516,0.5097,-3.4975,-0.0572
4,0.4484,-3.6196,0.2237,0.5296,-3.5894,0.2235,0.401,-3.6448,0.2074,0.5856,-3.5621,0.2063,0.3417,-3.6661,0.1929,0.01,0.01,0.01,0.4591,-3.5753,0.0992,0.4985,-3.5546,0.0971,0.4476,-3.5418,0.024,0.5061,-3.5202,0.0218,0.4496,-3.5277,-0.0525,0.5108,-3.4991,-0.0573
5,0.4506,-3.6218,0.2237,0.5314,-3.5953,0.223,0.4021,-3.6463,0.2074,0.5865,-3.5614,0.2036,0.3449,-3.6706,0.1946,0.6546,-3.5487,0.1877,0.4577,-3.5717,0.101,0.4978,-3.5562,0.0979,0.4462,-3.5291,0.0218,0.5053,-3.5268,0.0184,0.4446,-3.481,-0.0507,0.5114,-3.5037,-0.0576
6,0.4492,-3.6181,0.2244,0.5315,-3.5962,0.2247,0.3979,-3.6447,0.2113,0.5918,-3.5714,0.2119,0.3386,-3.6565,0.2037,0.6485,-3.5413,0.2,0.4607,-3.5739,0.1017,0.4999,-3.5589,0.1013,0.449,-3.5304,0.0214,0.5063,-3.5214,0.0218,0.4477,-3.503,-0.0534,0.5116,-3.4986,-0.0566
7,0.4488,-3.6223,0.2231,0.5294,-3.5821,0.2241,0.398,-3.6536,0.2142,0.5865,-3.5575,0.2154,0.3469,-3.6953,0.2116,0.6375,-3.5319,0.2054,0.4647,-3.5763,0.1017,0.4994,-3.5548,0.1005,0.4518,-3.539,0.0238,0.5061,-3.52,0.0227,0.4496,-3.5255,-0.053,0.5108,-3.4991,-0.0573
8,0.4478,-3.614,0.2226,0.5292,-3.5932,0.2257,0.3955,-3.6406,0.2128,0.5888,-3.5654,0.216,0.3447,-3.6629,0.2101,0.6393,-3.5317,0.206,0.4634,-3.5724,0.0982,0.5002,-3.5606,0.0997,0.4499,-3.5222,0.0234,0.5078,-3.526,0.0215,0.444,-3.476,-0.0505,0.5127,-3.5069,-0.0579
9,0.449,-3.624,0.2241,0.5285,-3.5818,0.225,0.3901,-3.6342,0.217,0.5869,-3.5542,0.2181,0.3261,-3.6364,0.2147,0.6482,-3.5362,0.2155,0.4627,-3.5744,0.1002,0.5002,-3.5536,0.1024,0.4524,-3.5421,0.0206,0.507,-3.5205,0.0226,0.4511,-3.5314,-0.0553,0.5113,-3.4968,-0.0565
10,0.4489,-3.6233,0.226,0.5245,-3.58,0.2242,0.3984,-3.6409,0.2196,0.5856,-3.5514,0.217,0.3378,-3.6495,0.2207,0.6373,-3.5321,0.2166,0.4631,-3.5707,0.1017,0.5001,-3.5526,0.1016,0.4544,-3.5518,0.0222,0.506,-3.5194,0.0228,0.4501,-3.5304,-0.0541,0.5116,-3.4981,-0.0564
11,0.4471,-3.6163,0.2248,0.5252,-3.5786,0.2249,0.3919,-3.6427,0.2182,0.5829,-3.5465,0.2195,0.3295,-3.6712,0.2203,0.01,0.01,0.01,0.464,-3.5697,0.1008,0.4989,-3.551,0.1032,0.4568,-3.5494,0.0201,0.5068,-3.5179,0.0194,0.4499,-3.528,-0.0558,0.5116,-3.498,-0.0582
12,0.4476,-3.6197,0.2261,0.5244,-3.5792,0.2243,0.4003,-3.6498,0.2212,0.5897,-3.5542,0.22,0.3466,-3.6899,0.2249,0.6473,-3.5362,0.221,0.461,-3.5685,0.1009,0.4958,-3.5481,0.1008,0.4517,-3.5453,0.0229,0.5036,-3.515,0.0219,0.4511,-3.5305,-0.0551,0.5086,-3.4959,-0.0571
13,0.4467,-3.6206,0.2253,0.5234,-3.5793,0.2242,0.3984,-3.6407,0.2216,0.589,-3.5555,0.2199,0.3417,-3.6791,0.2254,0.6489,-3.5399,0.2204,0.4621,-3.5694,0.1018,0.4958,-3.5485,0.1017,0.4544,-3.5514,0.0212,0.5038,-3.5156,0.0204,0.4525,-3.5348,-0.0561,0.5084,-3.4943,-0.058
14,0.4466,-3.6194,0.225,0.5232,-3.5777,0.2232,0.3941,-3.6451,0.2211,0.5896,-3.5536,0.2205,0.3351,-3.6801,0.2254,0.6486,-3.5384,0.222,0.46,-3.5679,0.1009,0.4953,-3.5448,0.1014,0.4537,-3.5478,0.0235,0.5033,-3.5134,0.0236,0.451,-3.5302,-0.0542,0.5093,-3.495,-0.0562
15,0.4444,-3.61,0.2242,0.5229,-3.5822,0.2253,0.3919,-3.6353,0.2207,0.5848,-3.5525,0.2219,0.3277,-3.6436,0.2233,0.6436,-3.531,0.222,0.461,-3.5688,0.1016,0.4969,-3.5503,0.1013,0.4509,-3.5384,0.0204,0.5075,-3.5228,0.0194,0.4488,-3.5203,-0.0569,0.5119,-3.4996,-0.06
16,0.4488,-3.6217,0.2262,0.5226,-3.5798,0.2244,0.396,-3.6469,0.2231,0.5878,-3.5593,0.2196,0.34,-3.682,0.2233,0.6454,-3.5366,0.2228,0.4623,-3.5711,0.1027,0.4942,-3.5504,0.1016,0.4528,-3.547,0.021,0.5039,-3.5171,0.0211,0.4509,-3.5288,-0.0567,0.5106,-3.4974,-0.0599
17,0.4476,-3.6199,0.2259,0.5225,-3.5794,0.2234,0.393,-3.6461,0.2229,0.5839,-3.5521,0.2184,0.3319,-3.6772,0.2262,0.6432,-3.5342,0.2227,0.4612,-3.5698,0.1027,0.495,-3.5495,0.1025,0.4517,-3.5458,0.0227,0.5047,-3.5167,0.0218,0.4498,-3.5273,-0.0558,0.5123,-3.4969,-0.0591
18,0.4405,-3.5758,0.2236,0.5284,-3.6331,0.2261,0.3838,-3.5744,0.2197,0.5995,-3.6331,0.2206,0.3242,-3.5995,0.2179,0.6599,-3.6175,0.2259,0.4606,-3.5497,0.1018,0.4983,-3.5676,0.1041,0.4502,-3.5088,0.0221,0.512,-3.5586,0.0195,0.4438,-3.4662,-0.0526,0.5152,-3.5354,-0.061
19,0.4456,-3.6193,0.2251,0.5226,-3.5799,0.2255,0.3928,-3.6529,0.2225,0.5885,-3.5636,0.2178,0.3294,-3.6806,0.2238,0.6487,-3.5441,0.2222,0.4615,-3.5715,0.0993,0.4976,-3.5541,0.0992,0.4531,-3.5416,0.0212,0.5073,-3.5212,0.0185,0.45,-3.5293,-0.0551,0.5095,-3.4959,-0.0581
20,0.4459,-3.6138,0.2257,0.5231,-3.5829,0.2233,0.3937,-3.6516,0.2207,0.5843,-3.5603,0.218,0.329,-3.6766,0.2217,0.6408,-3.5366,0.2218,0.4595,-3.57,0.1004,0.4959,-3.5552,0.1003,0.4498,-3.5357,0.0207,0.5045,-3.5204,0.0204,0.449,-3.5208,-0.0555,0.51,-3.4991,-0.059
21,0.4475,-3.6196,0.2268,0.5218,-3.5808,0.2247,0.3947,-3.6526,0.2235,0.5858,-3.5646,0.2196,0.3328,-3.6772,0.2252,0.6435,-3.5418,0.2243,0.459,-3.5653,0.0998,0.4965,-3.5523,0.1014,0.4518,-3.5372,0.0234,0.5033,-3.5194,0.0221,0.4507,-3.5284,-0.0552,0.5098,-3.4986,-0.0573
22,0.4445,-3.6022,0.2245,0.527,-3.6032,0.2252,0.3912,-3.6278,0.2226,0.594,-3.5907,0.2196,0.3313,-3.6605,0.2251,0.6496,-3.5703,0.2235,0.4587,-3.5627,0.098,0.4973,-3.5584,0.0996,0.4514,-3.5258,0.023,0.5061,-3.5268,0.0228,0.4482,-3.4984,-0.0538,0.5105,-3.4975,-0.0566
23,0.4378,-3.546,0.2233,0.5368,-3.6724,0.2295,0.3835,-3.5359,0.2191,0.6162,-3.7477,0.2286,0.3224,-3.5572,0.221,0.6945,-3.8168,0.2381,0.4565,-3.5366,0.0973,0.5017,-3.5769,0.0987,0.4467,-3.4996,0.0214,0.5107,-3.5464,0.0161,0.4449,-3.4681,-0.0518,0.5112,-3.5029,-0.056
24,0.436,-3.5312,0.2225,0.5382,-3.689,0.2296,0.3753,-3.4577,0.2165,0.6305,-3.8168,0.2314,0.312,-3.4289,0.2162,0.7238,-3.9586,0.2434,0.4562,-3.5346,0.0979,0.5026,-3.5843,0.0995,0.4449,-3.4927,0.0241,0.5128,-3.5707,0.0177,0.4455,-3.465,-0.0508,0.5184,-3.5591,-0.061
25,0.4462,-3.616,0.225,0.5221,-3.5763,0.2226,0.3952,-3.6479,0.2218,0.5868,-3.5529,0.2174,0.3333,-3.671,0.2233,0.647,-3.5351,0.2214,0.4601,-3.5667,0.097,0.4973,-3.5508,0.0978,0.4507,-3.5349,0.0202,0.5074,-3.5211,0.0169,0.4513,-3.5254,-0.0551,0.5106,-3.4971,-0.058
26,0.4465,-3.6106,0.2231,0.5226,-3.5789,0.222,0.3939,-3.643,0.2211,0.5886,-3.564,0.2181,0.3318,-3.6642,0.2228,0.6468,-3.5393,0.2226,0.4609,-3.5654,0.0969,0.4973,-3.5515,0.0977,0.4514,-3.534,0.0226,0.5066,-3.5226,0.0203,0.452,-3.5228,-0.0558,0.5096,-3.4971,-0.0581
27,0.4491,-3.6166,0.2252,0.5278,-3.5835,0.2246,0.3973,-3.6389,0.2189,0.5876,-3.5583,0.2165,0.3287,-3.642,0.2131,0.6514,-3.5437,0.2197,0.4622,-3.5683,0.098,0.4979,-3.5554,0.097,0.4519,-3.5303,0.0226,0.5088,-3.5248,0.0187,0.4503,-3.5167,-0.0537,0.5106,-3.498,-0.0583
28,0.4398,-3.5317,0.2209,0.5461,-3.6894,0.2287,0.3688,-3.4271,0.2004,0.6285,-3.8049,0.2165,0.3018,-3.3496,0.189,0.7151,-3.9299,0.2132,0.458,-3.5422,0.0987,0.5009,-3.5849,0.0978,0.447,-3.4942,0.0224,0.5118,-3.5707,0.0166,0.4432,-3.4613,-0.0507,0.5189,-3.5635,-0.0622
29,0.4404,-3.5437,0.2218,0.5419,-3.6733,0.2282,0.371,-3.4826,0.2024,0.6161,-3.7271,0.2119,0.3053,-3.4295,0.1913,0.6884,-3.7588,0.2012,0.4596,-3.5465,0.0964,0.5011,-3.579,0.0962,0.4474,-3.5,0.0242,0.5105,-3.5528,0.0194,0.4426,-3.4639,-0.05,0.5126,-3.5248,-0.0591
30,0.4477,-3.6131,0.2247,0.5304,-3.5878,0.2231,0.3971,-3.6434,0.1961,0.5803,-3.5627,0.1993,0.351,-3.6815,0.1784,0.6228,-3.5263,0.1789,0.4608,-3.566,0.0947,0.503,-3.5591,0.0936,0.4505,-3.5424,0.0242,0.5066,-3.5165,0.023,0.4544,-3.5365,-0.0538,0.5099,-3.4988,-0.0571
31,0.4494,-3.6032,0.2214,0.5269,-3.577,0.2213,0.4123,-3.6257,0.188,0.5678,-3.5603,0.1851,0.3694,-3.624,0.1545,0.6058,-3.5185,0.1545,0.4609,-3.5678,0.0988,0.5011,-3.5606,0.0995,0.4501,-3.5408,0.0237,0.5056,-3.5088,0.0204,0.4509,-3.5299,-0.0544,0.51,-3.4928,-0.0597
