frame,wrist_R_x,wrist_R_y,wrist_R_z,elbow_R_x,elbow_R_y,elbow_R_z,shoulder_R_x,shoulder_R_y,shoulder_R_z,wrist_L_x,wrist_L_y,wrist_L_z,elbow_L_x,elbow_L_y,elbow_L_z,shoulder_L_x,shoulder_L_y,shoulder_L_z
0,1102.4094,54545.496,-5249.9861,-706.471,54443.0974,5745.2845,-59.6832,21.4642,88.1269,3.478,-76.6326,259.9773,15.827,-108.1192,266.9975,58.37,3.526,211.2482
1,-752.2601,-2082.8744,9154.3567,-1413.2457,-2804.0341,8886.1921,8.4881,49.3068,177.9412,-8.1683,-150.3584,125.4376,-7.0224,-71.8101,76.5951,8.1613,-13.8872,139.0432
2,23.8623,-134.5881,-216.8798,52.4038,-165.6082,-217.5291,21.8036,0.3164,-226.1203,-7.3318,-22.8062,-207.6272,2.6052,-142.0398,-223.1905,-36.1433,-78.8618,-263.7521
3,92.5854,-91.6234,-19.2895,97.1764,-124.1652,-83.0988,86.1167,58.8707,-24.2613,-65.1743,-96.2855,-177.2696,-79.3595,-101.0402,-61.8179,-86.3461,-4.1328,-20.5871
4,1.2079,-77.4349,3.9804,3.2308,-131.5573,43.326,6.8245,40.4491,40.7225,-15.1254,-60.4297,84.6185,-17.8774,-119.3198,35.2762,-11.8996,-34.7329,101.2756
5,-55.6727,37.4199,83.6901,-65.6093,-21.6574,65.698,-55.9064,79.3905,-26.1051,65.1537,-85.3363,125.2988,66.1598,-151.0461,60.1682,70.1612,-63.0145,40.0629
6,-33.3075,-179.1642,-107.5237,-172.15,-1102.4556,2045.1763,-32.6876,-54.0827,-96.4808,56.184,-7.6062,-35.2704,24.7886,-109.6901,-40.0234,23.6305,-8.8416,-18.4461
7,3087.4624,138566.3331,38378.2849,-1465.6424,141916.0874,22865.9188,-14.1413,124.5157,-141.8341,-54.0231,-13.7416,-307.1338,16.7116,-56.8684,-317.9083,9.4715,67.0473,-290.2123
8,185.933,-152.112,-6347.5191,1164.124,654.9937,-6173.5211,-6.8928,26.3656,166.1734,49.5371,-148.9466,442.7204,-2.9508,-189.7067,472.0552,2.1196,-136.9718,415.3293
9,-16.0071,37.3175,-312.9463,23.7494,0.4031,-326.7989,2.1095,37.3512,-32.6192,8.3822,-75.5612,-3.5935,8.3697,-122.3917,-2.0074,9.1282,-32.8291,-25.5638
10,43.3724,-99.3541,-83.2196,48.9876,-146.6372,-75.3388,42.1054,13.0935,-73.6289,-43.2977,-88.6019,19.8702,-44.2923,-135.9064,9.4809,-44.0512,-43.2477,11.7167
11,-6.0658,-58.9405,-31.3052,-3.312,-99.3012,-46.6012,-6.5081,47.9221,-10.7786,3.8491,-70.9822,16.6073,0.7992,-125.2623,70.8155,4.2014,-40.6904,34.7749
12,4.4677,-125.3021,-51.9952,1.5828,-158.0154,-82.5132,-5.3561,0.435,-80.8671,34.016,-90.5059,73.741,1.8663,-139.4783,44.1099,1.2041,-49.0495,71.9538
13,-71.0773,-91.3286,-5.3952,-61.7806,-134.3927,14.1135,-62.1953,25.7,21.9271,41.1007,-112.2542,-153.2596,74.438,-157.8053,-96.0061,72.4517,-26.251,-159.8642
14,100.2985,-19.0143,58.4873,93.2967,-86.1782,29.8734,98.501,72.2238,47.9136,-80.4622,-50.2663,217.7888,-107.4645,-90.0236,211.0844,-101.5966,-20.3065,160.1639
15,3.2127,-75.4829,21.7132,3.8696,-119.9638,16.0551,5.0358,39.7361,35.1617,-5.4959,-74.848,24.1575,-14.5576,-123.1039,46.7566,-10.906,-42.4229,80.5909
16,-34.5967,-17.3354,-107.1737,-32.6561,-61.5622,-113.4068,-34.6311,81.0863,-100.4498,14.3549,-72.4346,-58.929,34.9578,-115.5155,-48.9265,35.6356,-16.6687,-72.6624
17,-14.3342,-53.3584,-51.9154,-74.8668,-1120.1528,2112.5451,-13.0637,43.7724,-27.9855,19.5149,-92.6629,-52.1752,11.6817,-139.0515,67.0536,13.6656,-33.7163,51.4146
18,33.3109,8603.1384,-770.0657,85.4142,8559.7266,-960.6086,-148.5846,78.6353,-129.4276,134.7592,-31.107,-41.4547,134.578,-80.7685,-48.0431,138.0297,23.6918,-52.7662
19,753.4281,-10645.225,5743.5814,585.7299,-12076.9549,1329.2724,498.8239,-206.4519,214.5176,-491.3967,-228.8973,307.9205,-497.6652,-246.2637,304.0304,-503.2092,-210.0673,229.6915
20,526.2822,-2342.8277,-3072.7459,609.4267,-3189.5631,-2121.037,541.8987,116.5431,82.4838,-520.2662,-239.7051,-145.726,-524.5801,-114.5853,1.7441,-531.8837,27.8666,3.068
21,6953.5281,-5325.0016,3643.4529,6523.9559,-6303.1057,3729.8762,6950.6157,-5153.4621,1199.9897,-6826.2484,-5340.5219,2354.0198,-7498.5993,2182.1256,4252.1749,-6999.5831,2154.5785,4939.6439
22,-14571.2675,-98748.6211,15202.2712,-1812.3028,-94771.6331,-34635.8694,-11398.6729,2868.3688,504.1637,11410.0313,-451.7783,-705.4865,10988.1787,-1835.5646,2813.6269,11273.9937,-1577.2392,1526.4003
23,6275.0354,22207.6584,-20797.785,8542.2671,24802.2208,-16862.9034,2922.3313,-2236.7949,-2738.1846,-2880.9369,621.3528,-2837.0607,-2221.2896,-1416.6936,-3760.7068,-2926.0927,-2467.3577,-2707.9505
24,636.3474,-625.918,-563.8224,790.3763,-250.2851,-884.6312,-158.9191,44.1262,579.1169,-243.4033,-1066.179,885.9459,28.1312,-502.8813,263.7912,126.377,-314.003,280.0272
25,1995.4981,-3824.2019,-0.4837,2616.9734,-1751.0648,-40.1208,2295.0052,-1395.5073,-1307.9014,293.3936,496.9063,-5107.0593,-1092.9805,-2209.4663,-2765.9599,-2284.9446,-1914.3888,-1210.1293
