frame,joint_0_x,joint_0_y,joint_0_z,joint_1_x,joint_1_y,joint_1_z,joint_2_x,joint_2_y,joint_2_z,joint_3_x,joint_3_y,joint_3_z,joint_4_x,joint_4_y,joint_4_z,joint_5_x,joint_5_y,joint_5_z,joint_6_x,joint_6_y,joint_6_z,joint_7_x,joint_7_y,joint_7_z,joint_8_x,joint_8_y,joint_8_z,joint_9_x,joint_9_y,joint_9_z,joint_10_x,joint_10_y,joint_10_z,joint_11_x,joint_11_y,joint_11_z
0,0.4473,-3.6184,0.2216,0.5226,-3.5806,0.221,0.4116,-3.6527,0.1889,0.5597,-3.5447,0.1856,0.373,-3.6775,0.161,0.5954,-3.5108,0.1538,0.4574,-3.5703,0.0988,0.498,-3.5581,0.0978,0.4441,-3.5343,0.0209,0.5063,-3.5215,0.0192,0.4468,-3.5042,-0.0518,0.5116,-3.5051,-0.0585
1,0.4476,-3.6207,0.2245,0.5259,-3.5832,0.2223,0.4037,-3.6525,0.1989,0.5681,-3.5511,0.1932,0.351,-3.6721,0.1776,0.6145,-3.5311,0.17,0.457,-3.5741,0.0989,0.4961,-3.5505,0.0988,0.447,-3.5437,0.0224,0.5053,-3.5143,0.022,0.4501,-3.5305,-0.0523,0.5086,-3.4959,-0.0571
2,0.4486,-3.6214,0.2245,0.5246,-3.5816,0.2239,0.4037,-3.6521,0.1998,0.5672,-3.5512,0.1931,0.351,-3.6724,0.1786,0.6139,-3.5281,0.1705,0.4565,-3.5702,0.1015,0.4964,-3.5523,0.0989,0.447,-3.544,0.0215,0.506,-3.519,0.0203,0.4506,-3.5352,-0.0526,0.5095,-3.4959,-0.0581
3,0.4471,-3.6169,0.2242,0.5276,-3.5828,0.2247,0.4019,-3.6547,0.2053,0.5767,-3.558,0.1989,0.346,-3.6817,0.1867,0.6248,-3.5372,0.1795,0.4599,-3.5736,0.0964,0.4994,-3.5543,0.0978,0.4497,-3.5364,0.0214,0.5089,-3.5263,0.021,0.4475,-3.5105,-0.0531,0.5101,-3.5005,-0.0583
4,0.4474,-3.6194,0.2245,0.5282,-3.5865,0.2243,0.3999,-3.6445,0.2082,0.5857,-3.5625,0.2046,0.3461,-3.6826,0.1947,0.01,0.01,0.01,0.4588,-3.5728,0.0993,0.5001,-3.5589,0.0974,0.4503,-3.5337,0.0222,0.5073,-3.5216,0.021,0.4481,-3.5136,-0.0527,0.5115,-3.4977,-0.0573
5,0.4489,-3.6241,0.2246,0.5292,-3.5868,0.2234,0.4042,-3.6489,0.2083,0.587,-3.5645,0.2038,0.348,-3.6936,0.1957,0.6464,-3.5443,0.1877,0.4591,-3.5754,0.101,0.4989,-3.5568,0.0983,0.4465,-3.5321,0.0206,0.5054,-3.5208,0.0202,0.4484,-3.5245,-0.0533,0.5105,-3.4973,-0.0573
6,0.4476,-3.6202,0.2237,0.5314,-3.5887,0.2235,0.3971,-3.6542,0.2105,0.5921,-3.5679,0.2127,0.3395,-3.6778,0.2037,0.648,-3.5386,0.2008,0.4607,-3.5745,0.1016,0.4991,-3.5531,0.102,0.451,-3.5397,0.0222,0.5062,-3.5207,0.0201,0.4505,-3.526,-0.053,0.5117,-3.4991,-0.0583
7,0.4474,-3.6186,0.2221,0.5279,-3.5843,0.2252,0.3972,-3.6461,0.2139,0.5884,-3.5629,0.2159,0.3436,-3.6703,0.2099,0.6378,-3.5341,0.2077,0.464,-3.5772,0.101,0.5017,-3.5578,0.1006,0.4524,-3.5435,0.0229,0.5081,-3.5215,0.0225,0.4498,-3.5283,-0.0532,0.5118,-3.4993,-0.0581
8,0.4466,-3.6201,0.2238,0.5289,-3.5853,0.2268,0.3918,-3.6403,0.2136,0.588,-3.5551,0.2171,0.3317,-3.6567,0.2111,0.6423,-3.5328,0.2033,0.461,-3.5687,0.0998,0.5003,-3.5545,0.1015,0.4502,-3.5408,0.0221,0.5067,-3.5179,0.0236,0.4489,-3.5291,-0.0525,0.5116,-3.4981,-0.0564
9,0.4489,-3.6227,0.2234,0.5286,-3.5823,0.2251,0.3905,-3.6382,0.2172,0.5896,-3.5532,0.2189,0.3276,-3.6421,0.2143,0.6491,-3.536,0.2156,0.463,-3.5698,0.1026,0.501,-3.5524,0.1025,0.4544,-3.5439,0.0222,0.506,-3.5192,0.0236,0.4507,-3.5279,-0.0541,0.5115,-3.4977,-0.0573
