frame,wrist_R_x,wrist_R_y,wrist_R_z,elbow_R_x,elbow_R_y,elbow_R_z,shoulder_R_x,shoulder_R_y,shoulder_R_z,wrist_L_x,wrist_L_y,wrist_L_z,elbow_L_x,elbow_L_y,elbow_L_z,shoulder_L_x,shoulder_L_y,shoulder_L_z
0,5274.1171,221273.6896,-31874.2013,-5476.9874,221571.8112,29652.7668,81.1294,-50.6758,145.6324,-105.1257,-120.5732,66.7749,-109.1062,-151.1045,74.7955,-91.7076,-60.4473,65.5674
1,-922.2624,-3775.6495,8368.4574,-1917.8666,-2654.4285,8731.7569,52.0183,27.1458,0.0716,-53.422,-102.2613,-33.0179,-55.9705,-138.8509,-0.4502,-54.752,-77.0749,121.0171
2,34.3301,235.666,-639.0107,121.6596,182.2021,-669.0418,32.6781,168.6679,-684.7654,30.1212,62.2324,-168.2689,28.986,-17.4902,-219.1846,-14.13,29.8842,-413.6129
3,-218.2769,-71.641,544.9506,-253.5899,-171.2909,492.7975,-202.1879,-146.5435,412.5328,190.227,-131.8176,189.0577,177.2977,-207.2474,227.0147,206.3032,-166.4186,293.224
4,511.2442,-230.969,315.3354,467.1233,-348.4067,340.6955,510.2645,-219.2594,314.0557,-466.3781,-302.8311,653.1224,-568.952,-382.2464,596.1762,-523.3898,-347.4458,677.9561
5,-325.0791,111.839,-280.4137,-533.5204,-552.5368,1991.5816,-309.0006,178.1669,-333.6383,286.8696,629.8005,98.855,346.2559,211.2307,-611.4269,291.495,254.4121,-675.3723
6,-1445.7698,-42586.7818,-33139.5325,2950.6525,-44977.9253,-29821.6141,-98.6292,77.5263,-175.798,24.9357,-72.3376,3.0221,96.7823,-96.013,-16.2042,103.096,23.6696,-71.0622
7,-523.7072,10681.9648,1641.7524,-579.1423,10755.0794,-573.5794,-2.1758,74.4329,25.0886,8.886,-25.9186,75.4871,4.0544,-114.3974,60.4013,2.5939,-44.174,43.4104
8,71.4641,216.2349,-1551.491,276.9177,47.6484,-1546.7409,3.0034,37.7966,-11.0038,14.4209,-63.4653,121.3042,-12.1915,-127.4424,175.6611,-8.5266,-56.6503,158.3713
9,3.5296,-50.9597,182.7675,-12.6008,-148.6997,162.7982,-3.9531,25.9573,174.1787,16.3314,-167.637,225.4278,-11.0789,-218.7278,189.3189,-0.5298,-107.9936,204.9092
10,-207.7942,-34.1405,-90.9799,-197.6548,-89.7996,-94.043,-206.2825,78.4509,-83.3515,200.0667,-9.9718,-30.3334,201.1371,-63.1789,10.4691,203.002,47.4978,-54.8028
11,167.2959,-89.0602,19.6201,156.5577,-135.9775,-4.1928,157.3234,18.0983,-8.8187,-142.244,-112.8976,37.8502,-144.7233,-167.0738,5.2847,-145.8835,-73.2473,25.7071
12,-296.9986,-148.3948,178.0206,-298.8052,-90.252,246.2195,-276.6988,224.0304,211.8233,323.2665,-155.4622,318.8978,246.4442,-109.7211,411.3313,281.409,187.3802,333.432
13,1283.0905,-1022.2455,1706.8282,1188.9918,-1302.7274,1498.801,1225.3311,-1003.6288,1586.973,-1146.2063,-210.3394,1712.5872,-1436.0868,-144.3769,1503.2382,-1238.8963,-414.4965,1613.1599
14,-583.8615,-306.0945,313.9259,-596.9507,-428.6537,170.6999,-562.9842,-209.671,328.7903,547.9805,-36.5596,353.014,499.0247,-94.3797,535.3914,520.4787,-17.7643,485.8779
15,-543.4421,750.3042,-2810.8221,-349.3582,1192.761,-2620.6948,-550.8195,1145.0039,-2655.1471,296.4655,693.9519,-2579.1855,696.2932,326.7656,-2673.7919,552.5671,1043.535,-2549.8922
16,398.5584,55.5278,-258.525,413.0429,-1.1715,-219.659,410.844,48.5592,-229.8097,-413.2222,-103.2272,87.6535,-422.8212,-137.5017,41.414,-419.3985,-37.5458,63.346
17,-799.6679,-3.659,-74.6136,-815.2485,-99.6146,-150.3371,-812.7395,148.7522,-46.7885,818.74,-11.8645,-121.4476,824.932,-107.9004,-68.2793,814.3532,-74.8362,-168.4002
18,376.8879,-346.0809,-332.859,434.8629,-612.4795,-142.6073,417.6886,-287.589,-103.7429,-426.0276,-169.2538,89.0842,-403.0894,-78.4998,163.1992,-396.273,50.1816,144.308
19,-933.7859,-6.714,-673.349,-769.8879,66.1227,-674.6675,-844.764,199.634,-686.428,739.3461,340.1694,-896.4529,850.4895,357.9607,-836.4397,821.9521,574.2015,-828.6706
20,2131.0049,25.1127,19.0801,2002.755,59.8137,-55.5204,2018.4523,181.5767,-113.8857,-1953.7819,-397.3267,-129.1212,-1992.5923,-439.9378,-454.1224,-2020.7676,-283.8487,-436.8877
21,-1058.9605,36.2546,1135.0294,-1112.7117,-464.6254,1162.0025,-969.3153,-307.9217,1371.3605,1002.3276,-242.9394,1485.4041,778.9076,-603.5567,1715.0024,973.3556,-511.7447,1628.6222
22,-687.3301,-604.1252,-419.9311,-641.5549,-562.3704,-309.6509,-659.5059,-201.9525,-226.0324,673.9663,-615.9797,-325.124,723.1936,-536.9635,-235.5951,677.7504,-299.4789,-235.4138
23,284.0958,884.6706,815.2929,307.2986,284.3578,429.3465,369.1882,42.296,19.3672,-508.7595,176.2003,338.3557,-404.5589,-148.3485,7.9373,-383.6493,-95.2686,11.7572
24,-729.3986,273.5855,-1861.0115,-513.0394,-221.6677,-1155.5958,-922.0139,-84.2397,263.9192,1155.1666,387.457,-955.045,930.9958,27.027,22.0984,884.4122,53.2832,-205.9163
25,7041.8637,-2143.7991,-94.5436,6006.8341,2153.3444,1300.1499,5507.517,1859.9447,-2914.2495,-2251.5318,-1323.4631,-8184.1116,-1745.2987,-2466.6218,-6535.1826,-5490.7498,-1199.501,-2380.1535
