frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,-0.334008,0.370651,2.557168,-0.256593,0.143720,2.669162,-0.168587,-0.165378,2.644037,0.094360,-0.101903,2.309874,-0.024949,0.216889,2.361526,-0.251304,0.391496,2.451584,-0.134911,0.289232,2.649700,0.006951,0.333200,2.451519,-0.198422,0.559493,2.366135,-0.436130,0.392201,2.677772,-0.308619,0.753906,2.442742,-0.343723,0.718840,2.664228
1,-0.266324,0.415845,2.565202,-0.193253,0.182981,2.679525,-0.140394,-0.126753,2.651948,0.121046,-0.081775,2.313867,0.039742,0.243035,2.362315,-0.188592,0.437588,2.447983,-0.121090,0.342132,2.643095,0.045475,0.348427,2.446717,-0.201614,0.616701,2.358125,-0.336223,0.533370,2.705517,-0.263423,0.850132,2.474385,-0.340253,0.837211,2.672070
2,-0.279770,0.404600,2.562294,-0.213512,0.174589,2.682571,-0.147556,-0.136810,2.655354,0.113004,-0.082616,2.311127,0.013281,0.221818,2.364653,-0.205259,0.424090,2.450714,-0.124232,0.325733,2.653072,0.032110,0.345931,2.447355,-0.213476,0.631353,2.330162,-0.338986,0.624017,2.712889,-0.336959,0.870407,2.443255,-0.370885,0.845758,2.652475
3,-0.295644,0.403565,2.562667,-0.220982,0.168755,2.683085,-0.152365,-0.144252,2.656163,0.112515,-0.084316,2.308875,0.011971,0.227274,2.368160,-0.208285,0.418689,2.458309,-0.116607,0.335388,2.652174,0.036759,0.349191,2.446252,-0.210955,0.606517,2.354276,-0.348334,0.605052,2.717117,-0.315934,0.880899,2.435558,-0.370162,0.895280,2.670263
4,-0.297771,0.384532,2.564131,-0.225795,0.158013,2.681321,-0.151982,-0.147997,2.657333,0.112130,-0.087710,2.311743,0.022725,0.227861,2.373142,-0.209926,0.410534,2.459937,-0.123044,0.316673,2.660191,0.029950,0.348430,2.453994,-0.226051,0.617383,2.335678,-0.367479,0.560340,2.714516,-0.338094,0.884884,2.438048,-0.343070,0.889035,2.661651
5,-0.299948,0.389941,2.563844,-0.223435,0.162382,2.679059,-0.153638,-0.150138,2.656667,0.109100,-0.086930,2.313337,0.007833,0.223511,2.371593,-0.219906,0.408033,2.457972,-0.123418,0.318319,2.660383,0.023533,0.352021,2.454031,-0.230309,0.605671,2.353026,-0.369558,0.505889,2.722411,-0.322922,0.883195,2.458869,-0.368454,0.866915,2.671348
6,-0.306173,0.392329,2.562872,-0.226458,0.163430,2.680099,-0.151867,-0.150990,2.655992,0.108157,-0.087377,2.314267,0.010217,0.223199,2.370062,-0.214035,0.408670,2.456956,-0.117774,0.322713,2.662947,0.022142,0.354321,2.457417,-0.241782,0.659877,2.353647,-0.390883,0.478658,2.717357,-0.312204,0.929430,2.459766,-0.351112,0.856166,2.689296
7,-0.301699,0.390630,2.561103,-0.230755,0.157244,2.682166,-0.151305,-0.154923,2.657141,0.106624,-0.086998,2.314456,-0.001740,0.227042,2.376698,-0.227222,0.412125,2.458421,-0.125530,0.318179,2.667707,0.018036,0.359209,2.463604,-0.254549,0.659408,2.354504,-0.387378,0.445537,2.677401,-0.313137,0.894442,2.481348,-0.369521,0.850199,2.710048
8,-0.295889,0.403860,2.566617,-0.233010,0.165433,2.683000,-0.151867,-0.148387,2.657937,0.106405,-0.085003,2.314114,0.002161,0.232808,2.372104,-0.219902,0.407359,2.459085,-0.128274,0.325240,2.656073,0.017642,0.362815,2.451848,-0.255456,0.646329,2.352333,-0.386049,0.547211,2.696560,-0.323086,0.917572,2.481756,-0.365464,0.907289,2.702685
9,-0.300725,0.400781,2.566422,-0.232075,0.159287,2.681973,-0.156197,-0.151594,2.655164,0.106229,-0.088447,2.314202,0.005299,0.231473,2.370530,-0.222515,0.412168,2.458767,-0.132516,0.315840,2.650889,0.011711,0.361497,2.453831,-0.268197,0.629169,2.344116,-0.397398,0.539691,2.693482,-0.311532,0.905128,2.468122,-0.371310,0.899765,2.691218
10,-0.291728,0.399519,2.564829,-0.232433,0.158481,2.684870,-0.154931,-0.153851,2.656509,0.107685,-0.088448,2.314855,0.008614,0.246698,2.373279,-0.212836,0.400887,2.458991,-0.126700,0.325559,2.656756,0.028643,0.364279,2.452628,-0.216769,0.650734,2.363081,-0.365131,0.576760,2.689447,-0.241937,0.934663,2.500841,-0.331359,0.956930,2.710410
11,-0.307819,0.392662,2.567977,-0.236062,0.160404,2.684045,-0.159193,-0.152288,2.658156,0.106716,-0.091973,2.315343,0.010754,0.230277,2.372882,-0.216850,0.406462,2.454437,-0.128612,0.318530,2.646255,0.014774,0.364442,2.449084,-0.265259,0.632717,2.350502,-0.401545,0.538150,2.694423,-0.355267,0.927365,2.460584,-0.371963,0.911423,2.686929
12,-0.306121,0.388987,2.566738,-0.233859,0.157593,2.684298,-0.154148,-0.152212,2.659480,0.105927,-0.095854,2.316189,0.019003,0.224468,2.370332,-0.209393,0.401917,2.458021,-0.127686,0.323459,2.650620,0.013562,0.364534,2.445735,-0.257861,0.639043,2.358047,-0.394602,0.544472,2.693998,-0.336820,0.937515,2.463812,-0.383075,0.922624,2.683991
13,-0.304447,0.391517,2.563897,-0.237628,0.157229,2.684807,-0.156305,-0.151298,2.658073,0.104794,-0.095819,2.315200,0.013489,0.225464,2.370069,-0.213263,0.404332,2.455863,-0.130787,0.326962,2.644938,0.010185,0.364489,2.444562,-0.261899,0.636568,2.344015,-0.393507,0.565416,2.690476,-0.334711,0.941856,2.447173,-0.381563,0.951251,2.675470
14,-0.300627,0.393472,2.565660,-0.235870,0.154293,2.682793,-0.156206,-0.151585,2.657310,0.105466,-0.092884,2.315420,0.016190,0.228046,2.375000,-0.214491,0.407015,2.462390,-0.125325,0.326631,2.642812,0.017305,0.364524,2.437187,-0.257383,0.624911,2.344641,-0.388812,0.573763,2.684971,-0.315967,0.949684,2.445621,-0.387009,0.966811,2.666010
15,-0.304468,0.396064,2.564813,-0.229854,0.160458,2.682106,-0.153621,-0.152092,2.657443,0.105798,-0.092458,2.314913,0.007268,0.227343,2.376992,-0.220289,0.407567,2.462718,-0.125508,0.320497,2.658082,0.019567,0.356294,2.447340,-0.242957,0.639702,2.361814,-0.383661,0.513445,2.675820,-0.292708,0.930901,2.454993,-0.358080,0.912336,2.671798
16,-0.297327,0.390495,2.567414,-0.233753,0.159105,2.684980,-0.156891,-0.149394,2.655573,0.108192,-0.089393,2.315086,0.015926,0.228787,2.374047,-0.210982,0.406862,2.463416,-0.124943,0.346268,2.650656,0.020441,0.364125,2.438112,-0.224913,0.663629,2.352528,-0.382695,0.605194,2.702160,-0.287348,0.958115,2.447461,-0.353552,0.983355,2.671141
17,-0.297048,0.393779,2.568484,-0.229424,0.159426,2.684157,-0.160409,-0.153417,2.657710,0.108258,-0.091172,2.314390,0.011348,0.228424,2.373432,-0.217157,0.408080,2.461526,-0.123294,0.331662,2.645534,0.021646,0.364655,2.434200,-0.235502,0.655835,2.358057,-0.394517,0.529743,2.699118,-0.274950,0.947494,2.458866,-0.341846,0.915996,2.687152
18,-0.300902,0.390345,2.565158,-0.231217,0.159873,2.683789,-0.158875,-0.152376,2.657302,0.108348,-0.088217,2.316236,0.007721,0.230995,2.370966,-0.219146,0.404555,2.460551,-0.119230,0.337184,2.657673,0.027731,0.367191,2.443307,-0.207051,0.665914,2.368966,-0.383642,0.520914,2.701203,-0.232162,0.959518,2.468505,-0.331057,0.921192,2.694554
19,-0.298040,0.391083,2.564091,-0.229121,0.160835,2.685480,-0.153194,-0.147606,2.656538,0.108500,-0.087945,2.316540,0.005007,0.226883,2.371741,-0.218465,0.403067,2.457171,-0.119076,0.343657,2.659309,0.034565,0.371193,2.446583,-0.199725,0.665332,2.357342,-0.370731,0.549976,2.699032,-0.293367,0.943705,2.456398,-0.350882,0.951681,2.681146
20,-0.296061,0.391530,2.562580,-0.232011,0.162582,2.682652,-0.154524,-0.144661,2.659104,0.107891,-0.084149,2.315012,-0.000077,0.236410,2.372847,-0.218607,0.408488,2.461003,-0.124871,0.344449,2.644275,0.000346,0.387600,2.436768,-0.268539,0.644250,2.361478,-0.409119,0.506994,2.665435,-0.335658,0.933725,2.455465,-0.402997,0.933789,2.675974
21,-0.296561,0.387681,2.563320,-0.231810,0.160277,2.685019,-0.156868,-0.147167,2.659258,0.107526,-0.085386,2.316280,0.011870,0.241083,2.370513,-0.218785,0.403747,2.455254,-0.126963,0.332002,2.643212,0.001345,0.386308,2.440179,-0.261897,0.636042,2.350710,-0.406219,0.546328,2.684517,-0.314373,0.937796,2.441254,-0.361056,0.945273,2.675341
22,-0.297353,0.383843,2.564926,-0.230935,0.162188,2.682026,-0.155126,-0.146478,2.659887,0.109142,-0.087300,2.315633,0.008918,0.234391,2.370641,-0.217891,0.400776,2.453646,-0.120147,0.342167,2.645831,0.021874,0.383977,2.439776,-0.206853,0.652496,2.357581,-0.379806,0.595608,2.716133,-0.272008,0.940445,2.442642,-0.325005,0.953100,2.679979
23,-0.300226,0.388361,2.562973,-0.231016,0.159392,2.685073,-0.155030,-0.145523,2.660865,0.105767,-0.088221,2.316587,0.000572,0.232371,2.368706,-0.219105,0.401154,2.457270,-0.120711,0.332743,2.645556,0.005758,0.380719,2.438107,-0.230235,0.647321,2.364268,-0.383364,0.572760,2.690515,-0.317797,0.939609,2.450176,-0.359792,0.952157,2.672333
24,-0.298170,0.385934,2.563190,-0.228441,0.160331,2.683993,-0.152372,-0.147377,2.657794,0.108616,-0.089365,2.314883,0.012404,0.233366,2.372294,-0.217516,0.398777,2.454740,-0.121542,0.341132,2.638730,0.021102,0.377383,2.426074,-0.224962,0.622788,2.337775,-0.380766,0.542532,2.690303,-0.301549,0.941591,2.427604,-0.345414,0.940108,2.666926
25,-0.302163,0.381820,2.568057,-0.230632,0.154763,2.679014,-0.153210,-0.150604,2.658664,0.108340,-0.089598,2.316679,0.003094,0.230601,2.369475,-0.213477,0.403579,2.461011,-0.120175,0.339297,2.653997,0.023804,0.375771,2.442761,-0.218410,0.645307,2.345323,-0.382948,0.551809,2.701719,-0.264256,0.943467,2.440960,-0.304707,0.933360,2.689485
26,-0.301959,0.388289,2.562916,-0.233600,0.158327,2.684305,-0.157142,-0.149327,2.661221,0.105535,-0.089991,2.317453,0.005568,0.234729,2.373142,-0.220797,0.403623,2.460140,-0.127130,0.337968,2.651349,0.003424,0.377112,2.440352,-0.239954,0.640365,2.350769,-0.399791,0.523345,2.666593,-0.310721,0.945264,2.453591,-0.356007,0.933563,2.684350
27,-0.300146,0.388263,2.564279,-0.231110,0.161066,2.682394,-0.157847,-0.148863,2.659739,0.109099,-0.089501,2.317004,0.012273,0.234423,2.372426,-0.217312,0.408287,2.462798,-0.125860,0.343234,2.651489,0.007475,0.380064,2.437641,-0.220926,0.615188,2.353981,-0.389841,0.492092,2.666497,-0.264663,0.921204,2.452297,-0.317401,0.917044,2.692070
28,-0.298233,0.394269,2.565609,-0.233402,0.160361,2.681004,-0.157069,-0.147893,2.659319,0.108353,-0.088778,2.315520,0.008134,0.235378,2.371435,-0.217818,0.409526,2.462551,-0.125151,0.332701,2.647142,0.019658,0.376366,2.439569,-0.244044,0.613069,2.354789,-0.409089,0.499009,2.666988,-0.275419,0.907862,2.448225,-0.340508,0.900480,2.687130
29,-0.300070,0.389595,2.565704,-0.230199,0.160497,2.682811,-0.153681,-0.148290,2.658902,0.107383,-0.089931,2.315654,0.013515,0.232815,2.370362,-0.218950,0.406675,2.466669,-0.124756,0.331766,2.648483,0.018836,0.368589,2.436296,-0.245267,0.608727,2.349678,-0.396681,0.484895,2.668171,-0.310588,0.907867,2.446588,-0.357169,0.890726,2.678715
