frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
15,0.382119,-0.347969,3.403741,0.463409,-0.498470,3.347580,0.482250,-0.688516,3.351345,0.800361,-0.593114,3.608186,1.004873,-0.343947,3.571457,0.873573,-0.187386,3.582331,0.499003,-0.147896,3.480343,0.699138,-0.031118,3.548928,0.421081,0.258705,3.434714,0.205036,0.079248,3.429691,0.416815,0.354931,3.332225,0.218527,0.160999,3.380450
16,0.383096,-0.348085,3.401161,0.465681,-0.514492,3.347245,0.490122,-0.692610,3.346141,0.793706,-0.598631,3.608952,1.000043,-0.350687,3.574361,0.873144,-0.183523,3.583462,0.500733,-0.147867,3.477371,0.701072,-0.033806,3.547279,0.403208,0.231745,3.459239,0.213836,0.088408,3.418249,0.416172,0.375329,3.309959,0.229930,0.179460,3.358217
17,0.381392,-0.347379,3.401834,0.459413,-0.509438,3.347477,0.486041,-0.683866,3.347332,0.802862,-0.595602,3.608165,1.004594,-0.332238,3.570137,0.873907,-0.177472,3.579901,0.502794,-0.142402,3.477485,0.707567,-0.033402,3.547147,0.438092,0.251009,3.444803,0.203028,0.089776,3.423484,0.422727,0.417746,3.255937,0.246310,0.219400,3.327599
18,0.382533,-0.353070,3.403452,0.466752,-0.511594,3.346085,0.489387,-0.695120,3.346880,0.797653,-0.594028,3.611191,0.996414,-0.339063,3.571791,0.877321,-0.175055,3.579931,0.511832,-0.144681,3.478373,0.710879,-0.035469,3.546866,0.434525,0.264227,3.439653,0.216539,0.055248,3.442090,0.418612,0.291920,3.377187,0.271275,0.148434,3.383828
19,0.382759,-0.351173,3.406725,0.464642,-0.505080,3.353611,0.484257,-0.692722,3.347167,0.800388,-0.605197,3.614952,1.003900,-0.338346,3.575611,0.865434,-0.180389,3.585778,0.509273,-0.143562,3.476658,0.708546,-0.039430,3.548093,0.425525,0.252534,3.447490,0.215790,0.084634,3.424788,0.411489,0.384171,3.301084,0.236145,0.236651,3.304969
20,0.383548,-0.342930,3.399909,0.469432,-0.484831,3.349139,0.484033,-0.683475,3.350870,0.803319,-0.608124,3.613986,1.012907,-0.330442,3.572710,0.865356,-0.180121,3.585795,0.505524,-0.148420,3.480138,0.702899,-0.040640,3.552244,0.421761,0.239891,3.454813,0.211232,0.044905,3.443688,0.369349,0.288939,3.364619,0.198018,0.169580,3.356603
21,0.380823,-0.343523,3.402609,0.467621,-0.478757,3.353045,0.473874,-0.685559,3.347978,0.802500,-0.604131,3.612322,1.007870,-0.345815,3.575186,0.868692,-0.184173,3.585540,0.503019,-0.142419,3.478624,0.704386,-0.024571,3.546112,0.434970,0.269856,3.430716,0.210482,0.084641,3.420420,0.403355,0.452187,3.192211,0.218484,0.205476,3.330744
22,0.384528,-0.349974,3.400599,0.475908,-0.486032,3.350210,0.485188,-0.681776,3.351012,0.791692,-0.608950,3.612275,1.003376,-0.358101,3.578868,0.867678,-0.185170,3.586763,0.504546,-0.141796,3.478888,0.704415,-0.028453,3.547158,0.423824,0.266582,3.432574,0.216993,0.062729,3.430300,0.383497,0.317095,3.339340,0.202713,0.182569,3.344284
23,0.385624,-0.352217,3.398414,0.474492,-0.489361,3.352439,0.485471,-0.680716,3.350576,0.796014,-0.613992,3.613416,0.997249,-0.371511,3.583676,0.864682,-0.188217,3.587206,0.506037,-0.135269,3.478565,0.702804,-0.026588,3.548029,0.425022,0.274930,3.426776,0.217375,0.068359,3.443563,0.413694,0.342502,3.339151,0.233211,0.208238,3.337158
24,0.387147,-0.347905,3.401826,0.475097,-0.475291,3.343908,0.488135,-0.679505,3.351611,0.802599,-0.604855,3.605727,1.003456,-0.355671,3.573166,0.868398,-0.184328,3.586686,0.517116,-0.134985,3.479251,0.713029,-0.033847,3.544649,0.399492,0.223396,3.459227,0.220178,0.078470,3.431753,0.414361,0.352408,3.281522,0.223424,0.179547,3.336231
25,0.379416,-0.344122,3.398929,0.469032,-0.481750,3.352075,0.474490,-0.685358,3.349964,0.801595,-0.615979,3.611688,1.016991,-0.354847,3.576896,0.869713,-0.185680,3.586196,0.500253,-0.137007,3.480666,0.702014,-0.028676,3.548467,0.412379,0.261777,3.437860,0.215524,0.089674,3.429583,0.373755,0.384595,3.292272,0.230980,0.214699,3.321360
26,0.389479,-0.344210,3.404550,0.476155,-0.476502,3.345962,0.488175,-0.675115,3.353450,0.806453,-0.600762,3.605953,1.013103,-0.338083,3.566919,0.866769,-0.184939,3.585068,0.516621,-0.131114,3.475161,0.713544,-0.023376,3.543967,0.417140,0.255312,3.440629,0.224518,0.063840,3.418755,0.382542,0.276127,3.378033,0.231681,0.148164,3.378297
27,0.382816,-0.348328,3.400626,0.474686,-0.484151,3.351816,0.480762,-0.690986,3.347392,0.799592,-0.614330,3.612086,1.006888,-0.350396,3.575770,0.869063,-0.183970,3.583628,0.500552,-0.139636,3.479844,0.698104,-0.036304,3.550902,0.417688,0.254995,3.446036,0.206932,0.048639,3.441700,0.412834,0.327794,3.367116,0.249223,0.170646,3.359807
28,0.385245,-0.347177,3.403803,0.473070,-0.490989,3.352145,0.490844,-0.693788,3.351636,0.795731,-0.615907,3.611490,1.008942,-0.349860,3.572491,0.870730,-0.186450,3.584446,0.502283,-0.149968,3.484771,0.698119,-0.040082,3.553572,0.420687,0.260196,3.442709,0.216032,0.066909,3.439352,0.406357,0.350704,3.328267,0.215489,0.185606,3.358967
29,0.383799,-0.343382,3.404162,0.476794,-0.469915,3.347698,0.492001,-0.672769,3.353133,0.801671,-0.604841,3.608942,1.010495,-0.341657,3.570275,0.865891,-0.181908,3.585440,0.508857,-0.141265,3.479151,0.704483,-0.032217,3.547221,0.435674,0.266670,3.436608,0.228702,0.076185,3.429344,0.378718,0.277222,3.368318,0.215844,0.128429,3.387395
30,0.380887,-0.339382,3.405996,0.472053,-0.479264,3.353301,0.483651,-0.678404,3.352221,0.806301,-0.611699,3.607056,1.013657,-0.345050,3.567183,0.873865,-0.181351,3.581723,0.499335,-0.150350,3.480008,0.701392,-0.039625,3.549567,0.441685,0.263899,3.437591,0.213319,0.074360,3.433448,0.404590,0.367167,3.323703,0.240390,0.151102,3.388848
31,0.386309,-0.341780,3.401373,0.475918,-0.472218,3.350626,0.488566,-0.684559,3.351353,0.802550,-0.610109,3.612195,1.016171,-0.337832,3.568914,0.870750,-0.176232,3.583932,0.509105,-0.144518,3.481540,0.705767,-0.036099,3.551612,0.413117,0.250679,3.445801,0.216125,0.056693,3.441594,0.384133,0.287092,3.373371,0.214508,0.149844,3.381365
