frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,-0.371026,0.019637,3.097439,-0.270730,-0.092570,3.112395,-0.221272,-0.271018,2.959176,0.050880,-0.167519,2.607762,0.189233,0.093336,2.560627,0.014372,0.164943,2.541611,-0.189114,0.220065,2.999789,-0.047957,0.293498,2.770366,-0.216636,0.546300,2.735371,-0.445565,0.383535,3.042223,-0.424962,0.788387,2.724152,-0.522641,0.742235,3.051402
1,-0.310287,0.052399,3.129769,-0.239376,-0.085626,3.124227,-0.147561,-0.261880,2.974016,0.108776,-0.159257,2.608615,0.221742,0.080915,2.560560,0.086118,0.173673,2.544422,-0.185345,0.302451,3.018775,0.024844,0.364857,2.798249,-0.132411,0.727726,2.804945,-0.449306,0.523845,3.030439,-0.417113,0.945237,2.796410,-0.576293,0.882979,3.029555
2,-0.346519,0.039572,3.122434,-0.237604,-0.057050,3.125104,-0.171774,-0.268742,2.968196,0.106094,-0.166940,2.603392,0.219301,0.089859,2.566447,0.070909,0.170695,2.534650,-0.200618,0.345384,3.027743,0.008235,0.393983,2.796073,-0.040214,0.771732,2.780644,-0.471924,0.604849,3.034936,-0.376821,1.012302,2.824432,-0.579256,0.957306,3.021186
3,-0.360288,0.052775,3.110171,-0.255068,-0.048358,3.128495,-0.181177,-0.253513,2.976745,0.095779,-0.172170,2.599086,0.227269,0.107913,2.568256,0.066160,0.166509,2.542079,-0.218333,0.359916,3.028570,-0.007335,0.413176,2.789625,-0.090960,0.806355,2.769242,-0.532502,0.694925,3.052110,-0.407237,1.088024,2.870481,-0.632884,1.050147,3.047526
4,-0.369913,0.059879,3.120170,-0.277609,-0.042294,3.135821,-0.195510,-0.251636,2.978378,0.093691,-0.177156,2.592562,0.222583,0.113914,2.560513,0.060964,0.165229,2.535558,-0.221289,0.387182,3.036248,0.010270,0.436097,2.795894,0.019356,0.861068,2.803337,-0.515098,0.745316,3.058169,-0.366887,1.186329,2.895290,-0.640120,1.136685,3.058521
5,-0.365517,0.039721,3.122108,-0.256981,-0.044168,3.136398,-0.192367,-0.265223,2.975859,0.090245,-0.173506,2.594969,0.214455,0.123804,2.569235,0.053140,0.166280,2.550755,-0.219486,0.403410,3.042213,-0.022205,0.449644,2.796669,-0.154022,0.899978,2.839318,-0.539990,0.761006,3.055330,-0.412266,1.154278,2.889913,-0.603839,1.202231,3.060575
6,-0.370583,0.029314,3.119450,-0.253423,-0.056858,3.134422,-0.192244,-0.276445,2.973961,0.084337,-0.174916,2.595966,0.209935,0.147346,2.584826,0.050331,0.166718,2.554186,-0.226148,0.396791,3.034280,-0.033801,0.459804,2.791602,-0.170575,0.964358,2.853063,-0.523075,0.699324,3.026652,-0.367100,1.285277,2.902049,-0.614486,1.179363,3.094854
7,-0.373438,0.040951,3.118127,-0.257144,-0.064338,3.123169,-0.191413,-0.277590,2.984784,0.082459,-0.171994,2.598767,0.206007,0.143180,2.583908,0.052640,0.166835,2.565894,-0.211822,0.387561,3.043888,-0.030085,0.467138,2.799278,-0.211949,0.921073,2.843599,-0.564759,0.714711,3.074586,-0.445763,1.222670,2.888334,-0.651377,1.121763,3.087919
8,-0.374599,0.055749,3.114314,-0.262580,-0.070744,3.126011,-0.201636,-0.273358,2.984224,0.078405,-0.173496,2.597121,0.208330,0.129478,2.587579,0.050510,0.164181,2.563999,-0.225808,0.385373,3.041574,-0.034864,0.455063,2.801850,-0.204207,0.908467,2.848633,-0.544516,0.674363,3.035935,-0.381607,1.254544,2.908023,-0.623086,1.134946,3.088297
9,-0.373102,0.060997,3.118054,-0.263641,-0.073497,3.125318,-0.203345,-0.271020,2.994348,0.078543,-0.169702,2.604114,0.209551,0.117389,2.597364,0.047412,0.164481,2.567233,-0.219887,0.394512,3.044045,-0.020028,0.455083,2.795799,-0.141478,0.919541,2.841814,-0.543386,0.667238,3.025699,-0.260385,1.292697,2.910910,-0.606048,1.127938,3.067189
