frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
15,0.419321,-1.001127,4.402741,0.535386,-1.058255,4.333553,0.615530,-1.385442,4.353795,1.152622,-1.261684,4.723656,1.280017,-0.746600,4.687943,1.142224,-0.787407,4.752491,0.556227,-0.684044,4.589242,0.858967,-0.520542,4.717000,0.645236,-0.044734,4.690115,0.132992,-0.417499,4.656507,0.616604,0.239490,4.460865,0.363910,-0.235269,4.606433
16,0.415289,-0.992015,4.394021,0.502175,-0.995202,4.333107,0.610338,-1.370178,4.358367,1.156824,-1.260477,4.725169,1.228722,-0.760262,4.710933,1.135525,-0.778890,4.754004,0.553030,-0.671774,4.588566,0.869847,-0.500691,4.712233,0.652439,-0.015807,4.664747,0.121203,-0.417356,4.640983,0.627407,0.245437,4.437837,0.330044,-0.247065,4.623909
17,0.415167,-1.007160,4.413273,0.518116,-1.056893,4.318268,0.618111,-1.378482,4.355544,1.157317,-1.264011,4.727777,1.262510,-0.791731,4.706957,1.146833,-0.768755,4.752380,0.547039,-0.683392,4.590642,0.860829,-0.507253,4.716114,0.638578,-0.040499,4.688201,0.133209,-0.403114,4.643101,0.640998,0.317882,4.378724,0.315805,-0.229513,4.600571
18,0.420831,-0.966183,4.415176,0.520525,-1.002732,4.320903,0.611007,-1.377762,4.354778,1.155099,-1.256076,4.732627,1.253077,-0.773716,4.705801,1.142642,-0.785353,4.745085,0.544400,-0.676471,4.582387,0.847103,-0.494664,4.716104,0.618350,-0.016502,4.667450,0.138895,-0.407811,4.656418,0.627677,0.294860,4.399903,0.325664,-0.214754,4.593869
19,0.432041,-0.965827,4.408233,0.509107,-1.005079,4.323186,0.615429,-1.381388,4.352559,1.157871,-1.265912,4.727724,1.275361,-0.785697,4.704291,1.152353,-0.773311,4.750090,0.543081,-0.674812,4.584085,0.848724,-0.500942,4.715963,0.640970,-0.041515,4.680850,0.138912,-0.401205,4.649292,0.590056,0.224918,4.455228,0.355259,-0.248972,4.612469
20,0.422016,-0.980462,4.411956,0.496650,-1.019224,4.321923,0.612395,-1.372615,4.354524,1.158311,-1.265740,4.725362,1.264669,-0.810310,4.701718,1.146654,-0.765291,4.744238,0.538364,-0.682658,4.590056,0.854403,-0.503611,4.716298,0.648192,-0.047196,4.687150,0.141837,-0.408002,4.653249,0.607636,0.285775,4.405283,0.368551,-0.221109,4.594247
21,0.408757,-1.006598,4.407111,0.508205,-1.057070,4.309495,0.615244,-1.367246,4.348893,1.158500,-1.264446,4.728672,1.278076,-0.776728,4.693457,1.153481,-0.780247,4.748666,0.543901,-0.678634,4.585628,0.855848,-0.502419,4.713447,0.643492,-0.032394,4.670745,0.150956,-0.411496,4.656654,0.624562,0.289819,4.399158,0.329682,-0.244178,4.602741
22,0.425384,-0.982881,4.401589,0.512551,-1.061773,4.315799,0.611175,-1.380997,4.356375,1.157528,-1.262408,4.726457,1.268283,-0.801679,4.695505,1.147000,-0.782817,4.746886,0.542896,-0.685602,4.588706,0.853480,-0.500197,4.714393,0.645907,-0.047712,4.689878,0.138526,-0.423952,4.660626,0.610046,0.254782,4.433612,0.241641,-0.263641,4.638321
23,0.416990,-0.992201,4.402250,0.507028,-1.045284,4.320377,0.616553,-1.382872,4.356808,1.158748,-1.262119,4.724717,1.270687,-0.787734,4.691782,1.144102,-0.777728,4.748492,0.552272,-0.678897,4.585116,0.859001,-0.503253,4.710883,0.662207,-0.041339,4.683487,0.137869,-0.406710,4.652340,0.635560,0.235085,4.449691,0.295845,-0.235278,4.615223
24,0.413476,-0.986944,4.397552,0.510130,-1.062758,4.332673,0.614587,-1.366483,4.357770,1.159133,-1.268105,4.723882,1.274011,-0.789591,4.689085,1.142733,-0.784645,4.752178,0.551058,-0.676870,4.584644,0.853791,-0.512072,4.712890,0.627707,-0.045799,4.689665,0.127278,-0.408245,4.648124,0.603727,0.296151,4.419743,0.396501,-0.198250,4.585313
