frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,0.434861,-0.405271,3.796778,0.515769,-0.535557,3.737764,0.510686,-0.780469,3.734648,0.928391,-0.685104,4.028800,1.166197,-0.425036,4.002372,1.012677,-0.186305,3.996425,0.572343,-0.196754,3.918771,0.833143,-0.078243,3.980347,0.568285,0.250654,3.875656,0.273076,0.010573,3.872009,0.497719,0.394859,3.691744,0.297247,0.302200,3.662112
1,0.317926,-0.378859,3.802024,0.410545,-0.579361,3.738343,0.425092,-0.790758,3.726391,0.822745,-0.684193,4.050448,1.112335,-0.391310,3.999546,0.924129,-0.199349,4.022242,0.529440,-0.155317,3.884326,0.776119,-0.024666,3.958787,0.580945,0.285238,3.850201,0.196430,0.060022,3.832713,0.559329,0.488152,3.577539,0.228183,0.389642,3.564170
2,0.363618,-0.378786,3.781923,0.459326,-0.560928,3.723063,0.466449,-0.764038,3.738062,0.864480,-0.664880,4.045317,1.113556,-0.382123,3.998065,0.959042,-0.195932,4.013856,0.497029,-0.171716,3.891094,0.709695,-0.014490,3.965311,0.459926,0.220935,3.902992,0.181796,0.031635,3.838825,0.431841,0.489915,3.565703,0.203353,0.378673,3.528914
3,0.378164,-0.381546,3.791312,0.473666,-0.553873,3.727811,0.481026,-0.776473,3.742622,0.893066,-0.680780,4.044756,1.141464,-0.375005,3.993040,0.971959,-0.189765,4.014515,0.510673,-0.165126,3.891759,0.740287,-0.020816,3.967456,0.455445,0.212972,3.904928,0.197130,0.024366,3.860536,0.416302,0.529193,3.505412,0.216557,0.365278,3.557369
4,0.380306,-0.397465,3.793475,0.470353,-0.585191,3.725263,0.480473,-0.800323,3.739860,0.891221,-0.679522,4.046800,1.151324,-0.384262,3.996830,0.970866,-0.195410,4.016741,0.519519,-0.182843,3.897354,0.750076,-0.042757,3.974741,0.445934,0.212209,3.908719,0.216722,0.014899,3.864447,0.377719,0.533329,3.511766,0.217120,0.338646,3.600845
5,0.387451,-0.391001,3.794162,0.469432,-0.577789,3.728879,0.480332,-0.796875,3.744234,0.897711,-0.685432,4.046237,1.165149,-0.396459,3.993489,0.973743,-0.195870,4.012285,0.530631,-0.175846,3.897805,0.769677,-0.034797,3.971273,0.495927,0.275426,3.867204,0.206595,0.032429,3.854662,0.464280,0.523286,3.539870,0.239389,0.347981,3.597211
6,0.399940,-0.395986,3.793709,0.483624,-0.580398,3.731429,0.493682,-0.772506,3.750507,0.902636,-0.680209,4.048906,1.181745,-0.402404,3.996689,0.970302,-0.200251,4.014892,0.549472,-0.178165,3.901625,0.785228,-0.029979,3.971300,0.412582,0.192052,3.917033,0.213595,-0.037029,3.895187,0.394577,0.441409,3.620276,0.228233,0.319836,3.631722
7,0.394623,-0.397937,3.799410,0.493206,-0.568708,3.738648,0.489195,-0.791900,3.747905,0.912480,-0.668699,4.048777,1.164215,-0.410142,4.005281,0.966629,-0.210491,4.018670,0.552256,-0.179380,3.907723,0.791881,-0.034989,3.975293,0.470046,0.247298,3.888177,0.224215,0.006088,3.872985,0.435361,0.444108,3.613303,0.255316,0.270504,3.694676
8,0.395072,-0.391014,3.800807,0.491377,-0.558518,3.746200,0.488681,-0.781272,3.750907,0.903380,-0.661560,4.048995,1.169372,-0.386736,3.997694,0.963919,-0.209539,4.020823,0.556040,-0.176522,3.901698,0.803023,-0.025151,3.968327,0.465906,0.246384,3.885598,0.219854,0.003080,3.876566,0.453857,0.453965,3.595770,0.242313,0.259314,3.675272
9,0.394900,-0.403734,3.799405,0.486549,-0.579501,3.747450,0.482670,-0.792744,3.750601,0.900127,-0.669599,4.048153,1.151682,-0.405060,4.009717,0.968967,-0.209970,4.020719,0.546736,-0.188699,3.909021,0.796007,-0.041062,3.976810,0.504914,0.292279,3.861417,0.221561,0.005585,3.874137,0.474814,0.482727,3.560324,0.271174,0.340769,3.602104
10,0.400900,-0.390118,3.805515,0.500887,-0.542843,3.751469,0.491811,-0.779605,3.751275,0.902775,-0.671615,4.051690,1.162283,-0.396454,4.001065,0.964990,-0.206213,4.020883,0.566437,-0.165273,3.895502,0.808066,-0.034578,3.969699,0.507494,0.283926,3.869860,0.224239,0.044094,3.854275,0.493724,0.513737,3.554362,0.272231,0.373342,3.576931
11,0.395475,-0.392487,3.803341,0.491999,-0.555735,3.737123,0.489984,-0.791104,3.751697,0.905115,-0.669308,4.052945,1.159836,-0.397657,4.000731,0.967970,-0.204542,4.018174,0.548480,-0.189518,3.903875,0.792486,-0.040604,3.975140,0.478711,0.254128,3.884003,0.227797,-0.014217,3.886531,0.470868,0.507112,3.551175,0.247276,0.355423,3.593358
12,0.402692,-0.393361,3.805833,0.492032,-0.571118,3.743523,0.487449,-0.785641,3.749714,0.917903,-0.675480,4.052409,1.155666,-0.399783,4.006029,0.966100,-0.204076,4.016884,0.547580,-0.177456,3.898082,0.793962,-0.039173,3.972989,0.509042,0.287848,3.861213,0.235360,0.024039,3.865671,0.458671,0.506558,3.566133,0.260021,0.378368,3.592995
13,0.400758,-0.394080,3.804065,0.499435,-0.559018,3.737052,0.493821,-0.788888,3.751507,0.917344,-0.660390,4.046087,1.151868,-0.399365,4.006416,0.972556,-0.202942,4.017407,0.546889,-0.169005,3.897302,0.797971,-0.029046,3.967523,0.523414,0.293408,3.857367,0.229602,0.030504,3.860016,0.459557,0.477756,3.587326,0.268036,0.369401,3.594798
14,0.400180,-0.393240,3.800431,0.498451,-0.557487,3.746632,0.487662,-0.780519,3.750199,0.920347,-0.672228,4.043888,1.141463,-0.405635,4.010636,0.969238,-0.205095,4.016956,0.544704,-0.175336,3.900203,0.792329,-0.037325,3.973074,0.460766,0.234078,3.895834,0.228661,0.023477,3.862938,0.414649,0.456708,3.610602,0.228039,0.358587,3.606646
15,0.394780,-0.393085,3.801240,0.492926,-0.560053,3.742234,0.491505,-0.777792,3.751921,0.909012,-0.676101,4.048996,1.157804,-0.413707,4.004212,0.968681,-0.208121,4.018454,0.546976,-0.168007,3.896798,0.793363,-0.026826,3.967525,0.469370,0.261555,3.878530,0.234877,0.029194,3.861876,0.409268,0.473145,3.591084,0.243763,0.365766,3.597242
16,0.396769,-0.390333,3.798637,0.493368,-0.554412,3.741937,0.487103,-0.786289,3.749831,0.907451,-0.686251,4.049868,1.132325,-0.407970,4.010603,0.971155,-0.204060,4.013509,0.550427,-0.171138,3.895804,0.790338,-0.042606,3.974343,0.477989,0.265171,3.876448,0.232024,0.014019,3.871472,0.405000,0.469517,3.595472,0.267103,0.372396,3.586132
17,0.392362,-0.398964,3.803059,0.492467,-0.548054,3.747991,0.486970,-0.780368,3.749341,0.913105,-0.683801,4.049813,1.157216,-0.424775,4.009062,0.967716,-0.207946,4.019643,0.551230,-0.177303,3.896610,0.790019,-0.048073,3.975806,0.490669,0.276120,3.868397,0.226330,0.020238,3.868340,0.419151,0.482349,3.571506,0.231205,0.357134,3.579190
18,0.397753,-0.394715,3.805691,0.492514,-0.557855,3.746138,0.487040,-0.787003,3.747226,0.907475,-0.679378,4.046564,1.138142,-0.399446,4.010681,0.977250,-0.203658,4.016388,0.552191,-0.166557,3.895046,0.802005,-0.035410,3.968334,0.522605,0.294301,3.852956,0.232658,0.040382,3.861307,0.449684,0.511293,3.540119,0.250973,0.372521,3.562655
19,0.392399,-0.395882,3.805546,0.489159,-0.555539,3.750422,0.488415,-0.786474,3.744811,0.893472,-0.684743,4.050787,1.148901,-0.410428,4.007835,0.964639,-0.207466,4.017822,0.558486,-0.182926,3.897581,0.790865,-0.054688,3.975355,0.489052,0.284366,3.859788,0.233430,0.023372,3.861883,0.438040,0.486496,3.574885,0.233784,0.362961,3.564287
20,0.402851,-0.389269,3.805923,0.495800,-0.564305,3.751947,0.492335,-0.785797,3.746295,0.903850,-0.678044,4.050102,1.148075,-0.412158,4.005766,0.972602,-0.202605,4.015995,0.552928,-0.186219,3.899228,0.794968,-0.055939,3.975573,0.438125,0.238946,3.888475,0.229736,0.004694,3.867628,0.434503,0.487379,3.583829,0.227979,0.359635,3.597519
