frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
15,0.034848,0.044390,1.413193,0.053043,-0.057131,1.569648,0.067744,-0.178380,1.775357,0.311643,-0.169940,2.116593,0.280888,0.000771,1.700755,0.331679,-0.112676,2.349462,0.059108,0.143789,1.090729,0.077790,0.125044,0.754960,0.044748,0.128565,0.618801,-0.003454,0.228632,1.215725,0.077317,0.247923,1.400895,0.027797,0.218553,1.317149
16,0.034024,0.052045,1.397667,0.051238,-0.051953,1.551557,0.063193,-0.171327,1.764997,0.320686,-0.167877,2.136665,0.256296,0.003092,1.687436,0.266479,-0.028648,1.918794,0.053277,0.147060,1.098130,0.075611,0.125735,0.741050,0.039163,0.208712,0.988498,-0.001648,0.232862,1.195737,-0.073013,0.283073,1.809151,-0.009079,0.209137,1.331214
17,0.033149,0.060619,1.381439,0.051863,-0.044825,1.543564,0.063378,-0.167735,1.757378,0.316847,-0.153137,2.105108,0.232172,0.010914,1.661559,0.196879,0.042340,1.507930,0.051157,0.151521,1.089234,0.071698,0.129717,0.735213,0.006601,0.208866,0.942797,-0.018430,0.250375,1.159302,-0.450938,0.511520,3.071831,-0.068073,0.258662,1.617286
18,0.031659,0.056317,1.390885,0.052685,-0.048856,1.548998,0.061648,-0.166423,1.755500,0.332773,-0.166090,2.150446,0.299099,-0.000655,1.691693,0.163723,0.084526,1.203151,0.053855,0.153278,1.073314,0.079279,0.124444,0.699522,0.054709,0.116237,0.661720,-0.031673,0.254890,1.201638,0.119960,0.162384,1.157288,0.026534,0.189316,1.393848
19,0.030397,0.053746,1.397097,0.051194,-0.029825,1.514280,0.059948,-0.165851,1.754806,0.321202,-0.169377,2.129573,0.311059,-0.009968,1.741228,0.174845,0.085036,1.222882,0.057402,0.154774,1.058953,0.079832,0.124319,0.701758,0.058587,0.109389,0.593554,-0.001985,0.234631,1.135023,0.084129,0.130269,0.996228,0.034686,0.177255,1.264585
20,0.032854,0.055726,1.391914,0.061863,-0.035892,1.521998,0.064812,-0.173957,1.767249,0.326635,-0.181152,2.155422,0.320933,-0.011245,1.761426,0.172560,0.085999,1.170652,0.059399,0.144667,1.084194,0.079869,0.122242,0.716287,0.063674,0.166849,0.806037,0.012233,0.227015,1.119372,0.077119,0.175029,1.318061,0.027644,0.180009,1.328786
21,0.032145,0.050979,1.402209,0.056939,-0.056120,1.555094,0.065644,-0.174933,1.771078,0.326882,-0.182468,2.143584,0.328013,-0.022528,1.806889,0.176844,0.087971,1.188993,0.063804,0.144861,1.068044,0.081755,0.120670,0.711886,0.059862,0.173482,0.805846,0.008375,0.250127,1.250183,0.036698,0.231268,1.464799,0.025399,0.204255,1.279592
22,0.036373,0.045185,1.409570,0.063274,-0.054671,1.549736,0.068609,-0.177138,1.772069,0.327220,-0.187785,2.150910,0.323669,-0.025631,1.797427,0.181209,0.085004,1.214017,0.064566,0.144736,1.071483,0.081122,0.122419,0.717243,0.063320,0.159820,0.769741,0.015750,0.229279,1.096901,0.032435,0.202015,1.152040,0.033885,0.214477,1.165776
23,0.037675,0.040477,1.417492,0.060941,-0.064562,1.566982,0.072125,-0.186738,1.786086,0.316418,-0.181466,2.126440,0.315186,-0.026013,1.803772,0.180328,0.083978,1.220570,0.066000,0.141155,1.078016,0.079584,0.123669,0.725470,0.056966,0.142941,0.678789,0.015903,0.224398,1.093430,0.019732,0.231570,1.244702,0.030003,0.231178,1.203947
24,0.034348,0.043681,1.414143,0.057364,-0.055798,1.559422,0.067253,-0.178059,1.773017,0.320706,-0.186802,2.142616,0.316585,-0.021079,1.771275,0.175547,0.085737,1.194394,0.066484,0.139951,1.082325,0.083158,0.120933,0.725443,0.061139,0.154666,0.764510,0.012096,0.233572,1.233408,0.025128,0.176920,0.991377,0.023571,0.221037,1.119828
