frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,0.406734,-0.492865,3.855728,0.360825,-0.782047,3.735475,0.414312,-1.114695,3.587520,0.848852,-1.045921,3.882942,0.773598,-0.633977,3.913293,0.506801,-0.445305,3.904034,0.455209,-0.585034,3.755391,0.689721,-0.474055,3.858836,0.500346,-0.187701,3.908360,0.236112,-0.358779,3.784734,0.482761,0.187822,3.677913,0.137435,0.057559,3.693087
1,0.340177,-0.431783,3.859141,0.289861,-0.666864,3.724556,0.342066,-1.029975,3.597421,0.767941,-0.923449,3.883804,0.718455,-0.524821,3.904450,0.465111,-0.396537,3.892351,0.381129,-0.432775,3.745635,0.625493,-0.330006,3.838082,0.473803,0.079284,3.784486,0.140321,-0.225512,3.778883,0.434316,0.366301,3.545439,0.162875,0.248720,3.524492
2,0.283352,-0.493371,3.867536,0.283993,-0.743752,3.721413,0.365017,-1.047837,3.594280,0.783550,-0.952276,3.890722,0.705660,-0.554806,3.916548,0.449146,-0.390899,3.890966,0.319014,-0.440027,3.740450,0.566859,-0.332568,3.852831,0.458425,-0.080052,3.872283,0.149448,-0.229722,3.766212,0.434255,0.305694,3.574962,0.123624,0.228943,3.526295
3,0.331114,-0.469496,3.864931,0.304627,-0.723182,3.712780,0.370325,-1.061975,3.601407,0.799635,-0.951543,3.892406,0.713807,-0.554061,3.922146,0.456893,-0.400424,3.897299,0.330700,-0.414237,3.740998,0.602136,-0.265008,3.833433,0.460362,-0.099745,3.874340,0.138112,-0.257862,3.807677,0.384352,0.316601,3.554052,0.065709,0.142851,3.582291
4,0.305594,-0.559538,3.912352,0.292421,-0.755466,3.742145,0.369223,-1.085248,3.604211,0.810142,-0.971124,3.885766,0.727084,-0.548133,3.921903,0.476623,-0.378157,3.882592,0.333580,-0.484124,3.757951,0.611048,-0.354956,3.860389,0.465523,-0.099640,3.867306,0.155630,-0.227058,3.797625,0.388349,0.299354,3.573458,0.053076,0.143378,3.576553
5,0.368280,-0.483893,3.863132,0.289575,-0.734468,3.707305,0.386368,-1.086407,3.598769,0.819975,-0.977949,3.890405,0.735352,-0.551873,3.913464,0.480446,-0.392333,3.887562,0.340787,-0.523456,3.757754,0.611824,-0.382893,3.864421,0.489729,-0.074912,3.881946,0.162559,-0.270995,3.795053,0.426639,0.296435,3.592144,0.045445,0.105442,3.589225
6,0.378220,-0.496504,3.867455,0.326099,-0.744539,3.726024,0.390298,-1.106895,3.593922,0.827089,-1.002860,3.892932,0.737622,-0.570920,3.912895,0.487680,-0.407729,3.896256,0.364205,-0.531724,3.759487,0.627443,-0.406750,3.865873,0.485183,-0.127697,3.882562,0.143266,-0.253562,3.781988,0.428011,0.279668,3.583220,0.079671,0.103644,3.632359
7,0.376019,-0.448251,3.856333,0.333106,-0.714264,3.723373,0.392028,-1.076558,3.595551,0.822883,-0.992957,3.889097,0.736071,-0.557375,3.913163,0.477693,-0.395520,3.900796,0.374489,-0.529153,3.769984,0.635093,-0.405347,3.864844,0.484445,-0.165885,3.898458,0.188930,-0.313367,3.789460,0.418326,0.261582,3.614508,0.069806,0.113756,3.626290
8,0.386700,-0.470641,3.853045,0.323922,-0.751621,3.726986,0.398140,-1.090488,3.595828,0.821595,-0.998259,3.888361,0.723114,-0.576754,3.920646,0.484285,-0.417915,3.896297,0.387757,-0.535351,3.765983,0.644012,-0.424827,3.866424,0.468939,-0.157977,3.905984,0.179382,-0.311528,3.806773,0.417018,0.259490,3.623848,0.089211,0.135340,3.608847
9,0.375293,-0.462962,3.858032,0.333647,-0.728490,3.733381,0.391660,-1.089979,3.594154,0.817477,-1.005768,3.891631,0.731299,-0.579727,3.917682,0.490396,-0.417601,3.907805,0.387463,-0.539622,3.770226,0.640445,-0.434584,3.872100,0.465579,-0.159797,3.907239,0.166952,-0.291193,3.795521,0.423420,0.255078,3.625280,0.078914,0.117832,3.626318
10,0.373224,-0.456594,3.855870,0.331161,-0.725652,3.721771,0.391392,-1.083747,3.597935,0.814687,-1.005578,3.893601,0.726698,-0.564818,3.917944,0.484532,-0.402518,3.900817,0.388100,-0.527030,3.765317,0.644670,-0.414346,3.868958,0.447914,-0.148471,3.906891,0.166480,-0.291497,3.810587,0.417889,0.256180,3.624569,0.084872,0.129514,3.629480
11,0.376366,-0.462999,3.854184,0.328875,-0.726873,3.724386,0.391150,-1.084281,3.592659,0.819371,-0.995936,3.890152,0.728509,-0.570984,3.919425,0.482244,-0.408131,3.899284,0.378275,-0.523307,3.761612,0.635812,-0.410270,3.867848,0.453295,-0.145739,3.891484,0.168714,-0.304897,3.793676,0.401507,0.269186,3.609974,0.088819,0.134221,3.608839
12,0.376325,-0.459420,3.852214,0.315121,-0.732711,3.721218,0.388024,-1.085545,3.593115,0.821241,-0.999319,3.889341,0.728261,-0.562784,3.916782,0.481175,-0.394884,3.893243,0.369102,-0.529155,3.772490,0.636477,-0.407944,3.869920,0.485969,-0.121243,3.879780,0.161751,-0.332121,3.810208,0.408477,0.261941,3.610779,0.086193,0.141997,3.611266
13,0.384212,-0.473959,3.855072,0.310498,-0.747907,3.725643,0.388884,-1.091866,3.594629,0.817720,-1.003170,3.892311,0.735427,-0.578743,3.917980,0.488310,-0.404565,3.899514,0.374615,-0.531591,3.773606,0.637627,-0.406856,3.872364,0.474308,-0.122870,3.881904,0.186412,-0.346192,3.804478,0.407544,0.274185,3.595753,0.099213,0.126416,3.628288
14,0.383216,-0.469383,3.855166,0.319713,-0.744732,3.722609,0.389798,-1.089118,3.588895,0.821386,-0.989521,3.886230,0.732073,-0.569197,3.914837,0.480245,-0.408741,3.902772,0.374077,-0.527017,3.766547,0.633200,-0.411535,3.868290,0.463104,-0.135307,3.890850,0.168768,-0.309191,3.793543,0.373390,0.265255,3.608162,0.092781,0.129013,3.617383
15,0.390056,-0.449699,3.846590,0.326086,-0.732677,3.723397,0.385562,-1.096240,3.594604,0.822506,-0.987589,3.886561,0.728385,-0.565101,3.920695,0.478948,-0.412229,3.905058,0.379690,-0.524446,3.766523,0.641056,-0.410416,3.870513,0.468364,-0.152473,3.889965,0.168072,-0.315973,3.796861,0.413814,0.244897,3.630764,0.094368,0.119466,3.622932
16,0.385899,-0.467691,3.851413,0.334194,-0.729743,3.718947,0.388094,-1.088861,3.596271,0.815446,-1.005281,3.887559,0.740499,-0.576798,3.917405,0.487340,-0.397345,3.895872,0.381668,-0.519850,3.768269,0.638683,-0.403171,3.867884,0.466596,-0.123198,3.881100,0.165062,-0.297879,3.798154,0.411812,0.282147,3.593131,0.070146,0.122867,3.608971
17,0.383979,-0.465026,3.853355,0.314735,-0.746963,3.717736,0.391231,-1.092866,3.591285,0.814212,-1.002337,3.894423,0.733324,-0.574288,3.919549,0.486145,-0.415217,3.900742,0.374845,-0.529466,3.769588,0.631929,-0.412843,3.875185,0.459923,-0.118893,3.878772,0.168712,-0.299787,3.790859,0.404069,0.278461,3.591260,0.072798,0.136408,3.610849
18,0.390612,-0.461082,3.849994,0.317867,-0.740743,3.722633,0.390397,-1.087214,3.592831,0.823992,-0.992427,3.888054,0.738288,-0.563023,3.913810,0.486273,-0.403594,3.902070,0.376441,-0.522725,3.771224,0.639793,-0.406663,3.868337,0.472589,-0.149549,3.895623,0.159785,-0.308811,3.801936,0.421928,0.241787,3.628602,0.077452,0.107697,3.637866
