frame,joint_16_x,joint_16_y,joint_16_z,joint_14_x,joint_14_y,joint_14_z,joint_12_x,joint_12_y,joint_12_z,joint_11_x,joint_11_y,joint_11_z,joint_13_x,joint_13_y,joint_13_z,joint_15_x,joint_15_y,joint_15_z,joint_24_x,joint_24_y,joint_24_z,joint_23_x,joint_23_y,joint_23_z,joint_25_x,joint_25_y,joint_25_z,joint_26_x,joint_26_y,joint_26_z,joint_27_x,joint_27_y,joint_27_z,joint_28_x,joint_28_y,joint_28_z
0,-0.440692,0.032573,3.578946,-0.376616,-0.120991,3.647074,-0.236826,-0.276731,3.438793,0.060109,-0.190923,3.103904,0.186299,0.050433,2.972544,0.028102,0.176535,2.979653,-0.307739,0.308020,3.515894,-0.100612,0.365074,3.317152,-0.295853,0.556998,3.033828,-0.607376,0.380468,3.539243,-0.404555,0.903466,3.126545,-0.621825,0.899870,3.627881
1,-0.362778,0.073740,3.612921,-0.330518,-0.070045,3.656934,-0.178517,-0.230715,3.457887,0.104032,-0.180691,3.107143,0.241487,0.051627,2.963134,0.092434,0.188427,2.993495,-0.222700,0.419456,3.530870,-0.042928,0.435005,3.317398,-0.341428,0.642869,3.076555,-0.545654,0.511731,3.587153,-0.330695,0.998355,3.203458,-0.511390,1.018097,3.650579
2,-0.397719,0.063871,3.606334,-0.343776,-0.067470,3.653710,-0.191676,-0.242427,3.464215,0.100024,-0.183165,3.106342,0.225351,0.056266,2.982749,0.058624,0.191770,2.994384,-0.235238,0.426138,3.510895,-0.027500,0.457990,3.289035,-0.281261,0.694472,3.050360,-0.556597,0.589121,3.543154,-0.423586,1.008309,3.153682,-0.525194,1.055591,3.553555
3,-0.395713,0.051303,3.603372,-0.345457,-0.081150,3.659132,-0.210506,-0.254666,3.456919,0.091737,-0.189467,3.107809,0.216000,0.058169,2.968451,0.058609,0.185822,2.994854,-0.245882,0.400668,3.499214,-0.015700,0.431481,3.274766,-0.006272,0.685009,3.041326,-0.554289,0.568591,3.556502,-0.313093,0.974955,3.160218,-0.465900,1.028805,3.607866
4,-0.404415,0.053121,3.599223,-0.357392,-0.078810,3.654765,-0.223871,-0.253974,3.454595,0.088828,-0.196116,3.106087,0.219355,0.063454,2.971676,0.055860,0.187610,3.002390,-0.243949,0.404247,3.487179,-0.002028,0.449340,3.277946,0.089621,0.738408,3.139344,-0.531735,0.551502,3.507482,-0.225206,1.100150,3.260272,-0.508843,1.042477,3.554409
5,-0.409688,0.049894,3.600687,-0.356454,-0.068944,3.658959,-0.228882,-0.252483,3.459922,0.079255,-0.200051,3.110528,0.222044,0.063637,2.973647,0.050755,0.178362,3.001075,-0.252106,0.416374,3.478755,-0.020750,0.451495,3.261322,-0.036656,0.757755,3.099479,-0.567392,0.586235,3.472912,-0.361761,1.104650,3.189360,-0.518839,1.059598,3.527275
6,-0.411585,0.047914,3.606946,-0.365957,-0.062021,3.669634,-0.241314,-0.248948,3.470088,0.075117,-0.198574,3.112104,0.214262,0.067249,2.953968,0.048244,0.181845,3.003172,-0.254877,0.425622,3.487997,-0.004749,0.466123,3.269528,0.034303,0.822100,3.165978,-0.549808,0.599968,3.495703,-0.280843,1.160679,3.258017,-0.559516,1.055115,3.502180
7,-0.408151,0.047334,3.602706,-0.357496,-0.081168,3.654783,-0.231939,-0.255218,3.459318,0.072861,-0.201038,3.107824,0.215623,0.065040,2.980914,0.051579,0.184181,3.000637,-0.255175,0.411824,3.492006,-0.013817,0.460313,3.273981,0.067831,0.787519,3.147681,-0.579020,0.564002,3.517637,-0.221832,1.190538,3.269974,-0.471425,1.060922,3.590249
8,-0.412319,0.045248,3.606832,-0.354558,-0.070748,3.652354,-0.238325,-0.251791,3.462040,0.072657,-0.199043,3.108799,0.210872,0.064867,2.975145,0.055030,0.178060,3.002945,-0.234095,0.420574,3.488382,-0.023016,0.460418,3.271411,0.045488,0.709784,3.103866,-0.567090,0.535774,3.521725,-0.268621,1.113098,3.214622,-0.544596,1.043330,3.531014
9,-0.413726,0.044531,3.608531,-0.353325,-0.083650,3.654951,-0.235026,-0.264203,3.459386,0.075360,-0.202053,3.108738,0.208995,0.064266,2.976560,0.053656,0.174765,3.006534,-0.257603,0.408997,3.490746,-0.024228,0.450819,3.270906,0.053346,0.773246,3.162184,-0.558159,0.640383,3.505851,-0.273701,1.167395,3.265088,-0.499616,1.087262,3.544176
