frame,theta_ref,theta_diff,tau
0,0.0,0.0,88.284112
1,0.0069330695735506055,0.0069330695735506055,94.275279
2,0.020539160449193995,0.021338175991118143,78.98239
3,0.059597067571834215,0.06071033278088492,114.261749
4,0.04481056273545942,0.07554843763682002,91.52588
5,0.038626570655468824,0.09200308593497311,79.449402
6,0.030395139689004022,0.10295289636111658,71.186331
7,0.12429955991792693,0.2493515320562149,70.70612
8,0.13726194931141528,0.2655080405024762,194.332815
9,0.14313887743220094,0.27506185637619956,86.513461
10,0.1856118248128693,0.3184486846603174,53.484686
11,0.20950813919488565,0.34399242126298923,125.574406
12,0.20207394402178627,0.3566757179018547,69.202039
13,0.24258955285724318,0.39816113500161066,84.559755
14,0.21753131440977747,0.4291652237081233,126.723221
15,0.22487863638663422,0.4366644274605476,74.87091
16,0.27416854918230193,0.49133660776301175,81.640739
17,0.28874992045212805,0.5112527503482814,106.883216
18,0.3204864234500627,0.5676093491661767,72.432675
19,0.3322131747702979,0.6122868163884649,98.721979
20,0.3401884390540024,0.629540553471427,84.829705
21,0.4238434025057907,0.7215266040786565,1.899653
22,0.4516767871678799,0.7652669992838874,72.125763
23,0.4898186002859747,0.8034164437293708,57.030948
24,0.5780855420822394,0.8940834348803506,0.678842
25,0.6110345493011552,0.9441336844072351,81.923091
26,0.6840742952451003,1.019439321304795,59.109356
27,0.7210740301281399,1.0662290117437836,108.763187
28,0.7536930577350899,1.1248951468032309,16.017655
29,0.84155725168018,1.2145159045387282,45.679589
30,0.7949916209580188,1.2672686761636525,81.430653
31,0.7756611913070806,1.2894213856150598,25.046167
32,0.7420512610804059,1.3275405369214617,98.389093
33,0.7114016850676562,1.3596474116301027,106.873401
34,0.7338572254277483,1.4023815240537192,116.333291
35,0.625394718792808,1.5129221830538082,89.754659
36,0.5704248785590711,1.5745975210617127,8.853271
37,0.5147004342185141,1.6306602425942456,129.651411
38,0.4696623289319386,1.678872592700467,54.633285
39,0.4109024268120565,1.7376544688554445,66.488761
40,0.32882864070872503,1.819922570064827,28.908243
41,0.23722526810880307,1.9130180892325597,130.263064
42,0.191435424405239,1.9595301769293012,80.795474
43,0.16683028569612016,1.9885587964293443,78.899752
44,0.1568810603889675,2.0175870886255916,184.009797
45,0.18040131309175061,2.041337410818225,-59.334515
46,0.19711285609296467,2.060065927929499,150.875076
47,0.17296667679960737,2.084215046649651,113.983574
48,0.23009327219649603,2.1429630511872517,110.224345
49,0.2824296832440413,2.1979867844286423,-13.777735
50,0.31380666681324154,2.2351850257998884,136.139942
51,0.40397228624124787,2.3255978618104507,-8.266642
52,0.4208603338171233,2.3571939683649017,129.679352
53,0.48067974295854715,2.4508542909310136,-12.155145
54,0.54849749629353,2.5186721200092617,87.260681
55,0.5441857609805303,2.5703352808287856,20.704288
56,0.6678596815612461,2.695700272940958,53.66551
57,0.699327737546013,2.7458801994527597,58.790406
58,0.7817677835234297,2.833593668208719,27.773517
59,0.8066183661140243,2.860555551925696,94.377477
60,0.8473466918531909,2.9013376023740536,18.21313
61,0.8034272991152867,2.9458176319293043,130.356804
62,0.7816221561735002,2.9702244963906757,-26.605271
63,0.8025881900811002,2.9939097215025305,160.566591
64,0.7564578699475812,3.040054263594489,108.26406
65,0.6930739391440427,3.1048511630969577,8.160894
66,0.7173350768713654,3.1417116841895925,141.142547
67,0.6087637809607693,3.2660291092372655,30.654179
68,0.5714588549046308,3.357995847836418,64.278846
69,0.5259584501725694,3.4072494380700813,70.648446
70,0.4257423550681487,3.509879055547,90.76063
71,0.3743062032425354,3.565199711422205,51.034288
72,0.2576522401095689,3.683674633030737,86.945037
73,0.19844077746918637,3.750265218629434,100.135962
74,0.1852272573197531,3.782508059563176,164.654762
75,0.24708781711417427,3.844406054900958,-22.003312
76,0.27306772892674563,3.870899499119132,158.889134
77,0.32427287829975926,3.9230792425270615,-5.62286
78,0.4262971365847732,4.032909197163924,94.632909
79,0.5128299261661969,4.119760136327289,72.246839
80,0.5840614195469327,4.203601615915913,74.073236
81,0.6145473313039738,4.238049516519,70.850389
82,0.6337835790003183,4.266706059367921,79.287355
83,0.6795929148284643,4.313104801442928,-6.119073
84,0.7158330352468354,4.3521053430604315,68.718538
85,0.7695064810493838,4.4078068599795515,33.562732
86,0.8486485691765797,4.494900569835851,51.023027
87,0.7914487264921346,4.556887092598883,17.864235
88,0.7834301228027668,4.569061729688844,132.278746
