frame,theta_ref,theta_diff,tau
0,0.0,0.0,-176.697365
1,0.25226115306870545,0.25226115306870545,-181.29115
2,0.2649097760627352,0.26583371084771923,-210.38833
3,0.2726686237821276,0.27809827973049156,-150.381052
4,0.28647728734342204,0.2925675765773581,-172.287448
5,0.3485322717660076,0.35468795969506983,-201.645712
6,0.2999829150007723,0.4102561802923586,-166.085147
7,0.45247000508589724,0.5907884830729272,-112.54345
8,0.5577296824764291,0.7020171978832462,-205.702028
9,0.57332399524148,0.7305210370885309,-239.796607
10,0.17058674939150723,1.080521037088531,-134.398953
11,0.25576352549136305,1.1670930007216598,-151.669567
12,0.3012441039213728,1.2209727973847506,-28.161778
13,0.7011462216386833,1.5709727973847505,-298.578584
14,0.274809791067766,1.9209727973847506,-188.691038
15,0.17663763764437787,2.037127615200452,-134.819737
16,0.29550201497287126,2.15783338566874,-179.693285
17,0.5277946854402679,2.417799211541684,-126.876839
18,0.6925522862224532,2.5837361221982302,-135.329556
19,0.6367162495859284,2.669057681763302,-138.04166
20,0.38091838807394146,2.928757159419008,-112.18695
21,0.36586425395795014,2.9874751325920283,-236.136543
22,0.5719951594712203,3.193618757342947,-105.22935
23,0.5344601397916721,3.250248945324722,-138.285806
24,0.34936764311839696,3.4581090065667723,-30.34953
25,0.3713304019026609,3.4913166819786934,-83.282012
26,0.3832348686616349,3.5330357024578145,-135.68109
27,0.6125155310768613,3.7702292550084118,-201.304386
28,0.5136487060888867,3.909263353830349,-84.449721
29,0.33943119911381026,4.217160475341058,-95.121438
30,0.5245138586698953,4.489195833921471,-138.599806
31,0.46671119460671107,4.566354135350609,-258.564033
32,0.36654212579957596,4.68906786120133,-139.753453
33,0.38264080766243547,4.757091206136565,-125.02241
34,0.44143136405059785,4.855853213010205,-98.242706
35,0.4696731446929784,4.902693260613372,-202.742075
36,0.4590182845657923,4.977461145115017,-175.131509
37,0.3670458345981255,5.070834937559054,-161.506317
38,0.49730356616257987,5.209100912808185,-162.657484
39,0.5346696552490915,5.251532950514733,-163.475208
40,0.6095635861693864,5.326497850378253,-203.736154
41,0.3190131590209651,5.625652471900516,-150.641859
42,0.4215250247755561,5.728726704748241,-141.231866
43,0.25263266722755456,5.928502210143309,-173.656027
44,0.2039461896831758,5.988164348691695,-209.205157
45,0.22384949946328467,6.011501520316151,-73.720769
46,0.2051667287388151,6.030219674771958,-187.40273
47,0.42628713883529523,6.285461825337195,-116.101075
48,0.4455002935155483,6.312885894660517,-222.025254
49,0.6117747180510577,6.480888786104185,-66.843382
50,0.5873700322053865,6.505333553368065,-130.837816
51,0.46660363244815667,6.641806534817414,-199.761625
52,0.42332827009368457,6.686454802305176,-115.428166
53,0.564103938911432,6.830178003660463,-66.220239
54,0.4754725860282795,6.919196039769191,-124.341445
55,0.35755166538277894,7.0513645981007675,-127.666567
56,0.4414114643716353,7.135954272134434,-87.002669
57,0.5414559096390091,7.236640204870634,-107.193852
58,0.3624262657719029,7.500567849048845,-150.090563
59,0.39618776997398897,7.534344983999843,-118.007211
60,0.5056191977055987,7.679547116305677,-46.76476
61,0.3933994209286843,7.856316464391046,-164.852529
62,0.4574217747095211,7.972661062903035,-138.519188
63,0.41774133296506133,8.02649498005553,-280.946238
64,0.5185055609899732,8.186613513548203,-16.375158
65,0.6129405594509011,8.29769386685015,-231.151288
66,0.48059979332040376,8.453429258577014,-40.512231
