cycle_index,part,E_cycle_J
1,wrist_L,293.09841196860793
2,wrist_L,185.0199667880221
3,wrist_L,189.17606541587986
4,wrist_L,243.3917455242755
5,wrist_L,209.27220228696834
6,wrist_L,154.3152521434835
7,wrist_L,197.8014896096895
8,wrist_L,143.28768023797136
1,wrist_R,258.6268237230046
2,wrist_R,317.7458540459634
3,wrist_R,161.26598029554586
4,wrist_R,213.40963330340276
5,wrist_R,190.37542328402213
6,wrist_R,166.35007548919666
7,wrist_R,256.9587272268746
8,wrist_R,151.5881165567417
