subject_id,wrist_L,wrist_R,elbow_L,elbow_R
0,8.235,8.235,12.727,12.727
1,4.375,5.072,6.522,6.853
2,5.33,5.147,8.824,9.375
3,4.667,5.385,7.222,8.667
4,4.839,5,6.452,5
5,4.375,4.667,4.667,11.111
6,4.138,3.896,6,5.455
7,6.897,8,14.925,16.154
8,9.42,11.333,15.333,16.667
9,9.091,9.74,9.74,9.375
10,6,9.375,14,15.217
